ID,title,author,isbn,publisher,edition,pages,dimension
54,Stories for Tomorrow an Anthology of Modern Science Fiction,William Milligan Sloane; Sam Sloan,9784871873024,Ishi Press,Unknown,492 pages,8.50 x 5.51 x 1.09 inches
55,Biomes and Ecosystems Set (Teacher Created Materials Library Set) (Spanish Edition),Teacher Created Materials,9781433340055,Teacher Created Materials,Unknown,,
56,Irresistible,Karen Robards,9781476762760,Gallery Books,Unknown,,
57,The Broken Dragon,Irene Radford,9780756409159,DAW,Unknown,,
58,The Canterbury Tales,Geoffrey Chaucer; Peter Tuttle; Robert W. Hanning,9781593080808,Barnes & Noble,Unknown,866 pages,5.21 x 8.07 x 2.01 inches
59,GIANT Math Readiness,Joan Hoffman; Barbara Bando Irvin; Ph.D.; Barbara Gregorich,9781601597427,School Zone Pub,Unknown,,
60,Countries of the World b,ntries of the World by,9781617831041,Essential Library,Unknown,144 pages,
61,A Diary of Private Prayer,John Baillie,9781476754703,Scribner,Unknown,,
62,Coraline,Neil Gaiman; Dave McKean,9780380807345,HarperTrophy,Unknown,162 pages,5.20 x 7.50 x 0.40 inches
63,The Assassin,W. E. B. Griffin,9780515111132,Jove Books,Unknown,464 pages,4.18 x 6.84 x 1.08 inches
64,The Invisible Ring,Anne Bishop,9780451462060,Roc,Unknown,366 pages,5.92 x 8.96 x 0.84 inches
65,The Vintage Book of Contemporary American Short Stories,Tobias Wolff,9780679745136,Vintage Books,Unknown,576 pages,5.38 x 7.94 x 1.00 inches
66,Fashion Sketchbook (Fantastic Beasts and Where to Find Them),Scholastic,9781338116816,Scholastic Inc.,Unknown,,
67,How Do Dinosaurs Say I'm Mad!,Jane Yolen,9780545143158,The Blue Sky Press,Unknown,,
68,Lord Jim,Joseph Conrad; A. Michael Matin,9781593081454,Barnes & Noble Classics,Unknown,400 pages,
69,Nostromo,Joseph Conrad; Brent Hayes Edwards,9781593081935,Barnes & Noble,Unknown,455 pages,5.26 x 8.02 x 1.33 inches
70,Bajo cero (Spanish Edition),Karen Marie Moning,9788415410843,Roca,Unknown,,
71,Slow Bullets,Alastair Reynolds,9781616961930,Tachyon Publications,Unknown,,
72,The End of Eternity,Isaac Asimov,9780765319197,Orb Books,Unknown,255 pages,5.58 x 8.26 x 0.70 inches
73,The Age of Innocence (Barnes & Noble Classics Series),Edith Wharton; Maureen Howard,9781593081430,Barnes & Noble Classics,Unknown,336 pages,5.00 x 7.26 x 0.93 inches
74,Kurt Vonnegut,Peter J. Reed; Marc Leeds,9780313309755,Praeger,Unknown,216 pages,6.38 x 9.54 x 0.90 inches
75,Hush,Karen Robards,9781476766607,Pocket Books,Unknown,,
76,Convergence,Young Authors of Arizona,9781508973706,CreateSpace Independent Publishing Platform,Unknown,,
77,Laugh Out Loud,James; Grabenstein; Chris Patterson,9780316431460,jimmy patterson,Unknown,,
78,Early Works of Edna St. Vincent Millay,Edna St. Vincent Millay,9780760780787,Barnes and Noble,Unknown,,
79,Axel (Six Saviors) (Volume 13),Carly Fall,9781542834728,CreateSpace Independent Publishing Platform,Unknown,,
80,Farm Fresh Murder,Paige Shelton,9780425233870,Berkley,Unknown,292 pages,4.32 x 6.88 x 0.83 inches
81,The Anaesthesia Science Viva Book,Simon Bricker,9780521726443,Cambridge University Press,2,442 pages,6.10 x 9.00 x 1.30 inches
82,Charles Bronson,Michael R. Pitts,9780786417025,McFarland & Company,Unknown,368 pages,6.02 x 9.18 x 0.85 inches
83,Dawn of Darkness: Daeva,Daniel A. Kaine,9781466423718,CreateSpace Independent Publishing Platform,Unknown,,
84,Arbatel: Concerning the Magic of Ancients,Joseph H. Peterson,9780892541522,Ibis Press,Unknown,127 pages,6.10 x 9.10 x 0.80 inches
85,Nature Girl,Carl Hiaasen,9780446400664,Grand Central Publishing,Unknown,416 pages,4.20 x 6.79 x 1.12 inches
