ID,title,author,isbn,publisher,edition,pages,dimension
72,Star Trek: New Adventures Volume 2,Mike Johnson;  F. Leonard Johnson;  Ryan Parrott;  Stephen Molnar,9781631404139,IDW Publishing,,288,6.60(w) x 10.20(h) x 0.70(d)
73,Chu's First Day of School,Neil Gaiman;  Adam Rex,9780062223975,HarperCollins Publishers,,32,8.70(w) x 9.50(h) x 0.70(d)
74,3 Steps to Your Best Job Ever!: Second Edition,Steven Steinfeld,9781478194064,CreateSpace Publishing,,178,6.00(w) x 9.00(h) x 0.38(d)
75,Small Great Things,Jodi Picoult,9780345544971,Random House Publishing Group,Reprint,528,5.40(w) x 7.90(h) x 1.40(d)
76,The Brothers Karamazov (Barnes & Noble Classics Series),Fyodor Dostoevsky,9781593080457,Barnes & Noble,,752,8.08(w) x 5.30(h) x 1.63(d)
77,Mystery in Children's Literature: From the Rational to the Supernatural,Adrienne E. Gavin;  Christopher Routledge,9780333918814,Palgrave Macmillan UK,2001,244,5.51(w) x 8.50(h) x 0.03(d)
78,50 Things to See with a Small Telescope (Southern Hemisphere Edition),John Read,9781530741595,CreateSpace Publishing,,76,6.00(w) x 9.00(h) x 0.15(d)
79,Hiroshima,John Hersey,9781519492333,CreateSpace Publishing,,150,5.25(w) x 8.00(h) x 0.35(d)
80,High-Entropy Alloys: Fundamentals and Applications,Michael C. Gao,9783319270111,Springer International Publishing,1st ed. 2016,516,6.10(w) x 9.25(h) x (d)
81,Dragon Blood (Hurog Series #2),Patricia Briggs,9780441010080,Penguin Publishing Group,Reissue,288,4.20(w) x 6.80(h) x 0.80(d)
82,Innovation Between Science and Science Fiction,Thomas Michaud,9781786301307,Wiley,,196,6.40(w) x 9.40(h) x 0.70(d)
83,The McCullagh Inn in Maine,James Patterson;  Jen McLaughlin,9780316320115,Little Brown and Company,BookShots,160,4.90(w) x 6.90(h) x 0.50(d)
84,Alles was ein Herz Braucht,Barbara Freethy,9781943781164,Barbara Freethy,,346,5.24(w) x 7.99(h) x 0.77(d)
85,The Flight Attendant (Signed Book),Chris Bohjalian,9780385543484,Knopf Doubleday Publishing Group,Signed Edition,368,6.20(w) x 9.30(h) x 1.60(d)
86,The Asset,Mark Dawson,9781503938199,Amazon Publishing,,344,5.50(w) x 8.30(h) x 1.10(d)
