ID,title,author,isbn,publisher,edition,pages,dimension
629,Candy Cane Murder,Joanne Fluke;  Laura Levine;  Leslie Meier,9780758276896,Kensington,,432,6.72(w) x 4.20(h) x 1.17(d)
630,Grace Abounding to the Chief of Sinners: In a Faithful Account of the Life and Death of John Bunyan,John Bunyan,9781979883702,CreateSpace Publishing,,84,6.00(w) x 1.25(h) x 9.00(d)
631,Exploring the Limits of the Human through Science Fiction,Gerald Alva Miller Jr.,9781137262851,Palgrave Macmillan US,2012,238,8.50(w) x 5.70(h) x 0.80(d)
632,The Winter Long (October Daye Series #8),Seanan McGuire,9780756408084,DAW,,368,4.10(w) x 6.50(h) x 1.10(d)
633,I Want to Hold Your Hand (Green Mountain Series #2),Marie Force,9780425266779,Penguin Publishing Group,,352,4.10(w) x 6.60(h) x 1.10(d)
634,#Bae,Cambria Hebert,9781938857935,Cambria Hebert,,416,5.00(w) x 7.90(h) x 1.10(d)
635,My Little Monster 9,Robico,9781612629933,Kodansha International,,192,12.60(w) x 18.80(h) x 1.60(d)
636,Cripple Wolf,Jeff Burk,9781936383863,Eraserhead Press,,152,5.50(w) x 8.50(h) x 0.33(d)
637,Dark in Death (In Death Series #46),J. D. Robb,9781250161536,St. Martin's Press,,384,6.40(w) x 8.90(h) x 1.30(d)
638,Gold: The Final Science Fiction Collection,Isaac Asimov,9780060556525,HarperCollins Publishers,1st EOS Paperback Edition,416,5.31(w) x 8.00(h) x 0.93(d)
639,The Highlander's Prize (Sutherlands Series #1),Mary Wine,9781402264719,Sourcebooks,Original,352,4.20(w) x 6.80(h) x 1.10(d)
640,Ensayos (Essays),George Orwell,9786073133753,PRH Grupo Editorial,Spanish-language Edition,475,4.90(w) x 7.50(h) x 1.80(d)
641,Dance of the Reptiles: Rampaging Tourists Marauding Pythons Larcenous Legislators Crazed Celebrities and Tar-Balled Beaches: Selected Columns,Carl Hiaasen,9780345807021,Knopf Doubleday Publishing Group,,416,5.20(w) x 8.00(h) x 0.90(d)
642,2 B R 0 2 B,Kurt Vonnegut,9781974692293,CreateSpace Publishing,,42,6.00(w) x 1.25(h) x 9.00(d)
643,Court of the Air,Stephen Hunt,9780765380210,St. Martins Press-3PL,,608,5.00(w) x 7.99(h) x 1.35(d)
644,Java Programming for Spatial Sciences,Jo Wood,9780415260985,Taylor & Francis,New Edition,336,6.00(w) x 8.90(h) x 0.80(d)
645,Forever Black: A Romantic Thriller,Elise Noble,9781910954140,Undercover Publishing Limited,,340,5.00(w) x 8.00(h) x 0.70(d)
646,Sevanport: An Away Science Fiction Book,Norman Oro,9781540787545,CreateSpace Publishing,,164,6.00(w) x 9.00(h) x 0.38(d)
647,Classic Ghost Stories (Barnes & Noble Collectible Editions),Various,9781435165076,Barnes & Noble,New edition Bonded Leather,816,6.50(w) x 9.40(h) x 2.00(d)
648,Killer Insight (Psychic Eye Series #4),Victoria Laurie,9780451219336,Penguin Publishing Group,,304,4.17(w) x 6.67(h) x 0.80(d)
649,Shaun and the Magic Chair,Robert Collins,9781496995537,AuthorHouse,,96,5.00(w) x 8.00(h) x 0.23(d)
650,Collected Essays Volume 1: Amateur Journalism,H. P. Lovecraft,9780972164429,Hippocampus Press,,444,6.00(w) x 9.00(h) x 0.99(d)
651,Hunting Fear (Bishop Special Crimes Unit Series #7),Kay Hooper,9780553585988,Random House Publishing Group,Reprint,384,4.15(w) x 6.90(h) x 1.00(d)
652,Heven & Hell Anthology,Cambria Hebert,9781938857188,Cambria Hebert,,216,6.00(w) x 9.00(h) x 0.49(d)
653,Maximum Ride Manga Volume 6,James Patterson,9780759529724,Yen Press,Manga,208,5.75(w) x 8.50(h) x 0.75(d)
654,Sleight of Hand,Peter S. Beagle,9781616960049,Tachyon Publications,,288,5.59(w) x 8.51(h) x 0.78(d)
655,Enchanted,Kay Hooper,9780515137149,Penguin Publishing Group,Reprint,416,4.13(w) x 6.75(h) x 1.00(d)
656,Grooming Mr. Right,Tonya Kappes,9781492335993,CreateSpace Publishing,,290,5.25(w) x 8.00(h) x 0.65(d)
657,Age of Swords (Legends of the First Empire Series #2),Michael J. Sullivan,9781101965382,Random House Publishing Group,,528,4.20(w) x 7.40(h) x 1.30(d)
658,Midnight Blue-Light Special (InCryptid Series #2),Seanan McGuire,9780756407926,DAW,,368,4.10(w) x 6.70(h) x 1.20(d)
659,El Refugio,Jude Deveraux,9788490702345,Ediciones B,Spanish-language Edition,344,4.90(w) x 7.40(h) x 0.90(d)
660,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,9780385496094,Knopf Doubleday Publishing Group,First Anchor Books Edition,288,5.18(w) x 7.99(h) x 0.60(d)
661,Discount Armageddon (InCryptid Series #1),Seanan McGuire,9780756407131,DAW,Original,368,4.10(w) x 6.60(h) x 1.20(d)
662,Neil Gaiman's Troll Bridge,Neil Gaiman;  Colleen Doran,9781506700083,Dark Horse Comics,,64,6.70(w) x 10.20(h) x 0.50(d)
663,Black Magic,Marjorie Bowen,9781534795921,CreateSpace Publishing,,468,6.00(w) x 9.00(h) x 0.94(d)
664,The Handy Chemistry Answer Book,Justin P. Lomont;  Ian C. Stewart,9781578593743,Visible Ink Press,,400,7.00(w) x 9.20(h) x 1.10(d)
665,Happy Birthday Pictoral Book to Valentina Monee Knight: Happyeveryday Forever to my Valentini Monini Love You,Papa Dan Edward Knight Sr.,9781500179892,CreateSpace Publishing,,28,6.00(w) x 9.00(h) x 0.06(d)
666,The Iron Tactician,Alastair Reynolds,9781910935309,NewCon Press,,98,5.83(w) x 8.27(h) x 0.23(d)
667,Handy Ocean Answer Book,Thomas E Svarney;  Patricia Barnes-Svarney,9781578590636,Visible Ink Press,,616,9.00(w) x 7.36(h) x 1.21(d)
668,And Then You Die,John R. Jorissen,9780595170302,iUniverse Incorporated,,202,5.90(w) x 8.90(h) x 0.60(d)
669,Vocabulary Activities with CD-ROM,Penny Ur,9780521181143,Cambridge University Press,New Edition,272,5.98(w) x 8.98(h) x 0.67(d)
670,Why People Fail P (Airport Custom),Alastair Reynolds,9781118163740,Wiley,,258,6.00(w) x 9.00(h) x 0.54(d)
671,Kidnapped: Sam Silver: Undercover Pirate 3,Jan Burchett;  Sara Vogler,9781444005868,Orion Children's Books,,128,5.00(w) x 7.70(h) x 0.50(d)
672,Handbook of Magnetic Materials,Elsevier Science,9780444636348,Elsevier Science,,460,6.10(w) x 9.10(h) x 1.40(d)
673,Man Overboard (Ali Reynolds Series #12),J. A. Jance,9781501110825,Pocket Books,Reprint,416,4.10(w) x 7.40(h) x 1.00(d)
674,High Places : Cultural Geographics of Mountains Ice and Science,Denis Cosgrove,9781845116170,I. B.Tauris & Company Limited,,256,6.10(w) x 9.10(h) x 0.90(d)
675,Conversations with God: An Uncommon Dialogue Book 1,Neale Donald Walsch,9780399142789,Penguin Publishing Group,,240,5.88(w) x 8.56(h) x 0.90(d)
676,Science Fiction and the Two Cultures: Essays on Bridging the Gap Between the Sciences and the Humanities,Gary Westfahl,9780786442973,McFarland & Company Incorporated Publishers,,290,5.90(w) x 8.90(h) x 0.90(d)
677,Ursula K. Le Guin Beyond Genre: Fiction for Children and Adults,Mike Cadden,9780415972185,Taylor & Francis,,224,6.00(w) x 9.00(h) x 0.70(d)
678,Star Trek: That Which Divides,Dayton Ward,9781501107146,Pocket Books/Star Trek,,400,7.80(w) x 4.90(h) x 1.30(d)
679,The Blessing,Jude Deveraux,9780671891091,Pocket Star,,336,4.18(w) x 6.75(h) x 0.60(d)
680,Jules Verne's Early Novels 1864-70 Unabridged a Journey to the Center of the Earth from the Earth to the Moon Round the Moon the English at the N,Jules Verne,9781781392485,Benediction Books,,1112,6.69(w) x 9.61(h) x 2.25(d)
681,Creation,Katherine Govier,9781585674107,The Overlook Press,,320,5.63(w) x 8.27(h) x 1.12(d)
682,All the New Tomorrows: 5 Science Fiction Stories,Rebecca M. Senese,9781927603215,RFAR Publishing,,138,5.25(w) x 8.00(h) x 0.32(d)
683,The Territory (Josie Gray Mysteries Series #1),Tricia Fields,9781250023056,St. Martin's Press,,288,5.40(w) x 8.10(h) x 0.50(d)
684,A Journey to the Center of the Earth: Campfire Graphic Novel,Jules Verne;  Vinod Kumar,9789380028408,Steerforth Press,,72,7.58(w) x 3.36(h) x 0.15(d)
685,Michael Foreman's Peter Pan and Wendy,J. M. Barrie;  Michael Foreman,9781843651369,Pavilion Books Limited,,160,9.50(w) x 11.90(h) x 0.70(d)
686,Coming Between Blood: The Other Brother (Second Edition),Queen Jewels,9781515050940,CreateSpace Publishing,,112,6.00(w) x 9.00(h) x 0.23(d)
687,Copernicus: The Astronomer Who Stopped the Sun,Edward S. Holden,9781530690909,CreateSpace Publishing,,104,5.25(w) x 8.00(h) x 0.22(d)
688,Math Grade 3-Workbook,School Zone Publishing;  Barbara Gregorich;  Lorie DeYoung;  Chris Cook,9780938256311,School Zone Publishing Company,,32,8.48(w) x 10.82(h) x 0.12(d)
689,Devine P.I.,James Carroll,9781449054359,AuthorHouse,,48,5.00(w) x 8.00(h) x 0.12(d)
690,Archaeology: The Science of the Human Past / Edition 4,Mark Sutton,9780205881796,Taylor & Francis,New Edition,430,7.90(w) x 9.90(h) x 0.70(d)
691,Fleabag (TV tie-in edition),Phoebe Waller-Bridge,9781848426245,Hern Nick Books,Second Edition,48,5.10(w) x 7.60(h) x 1.00(d)
692,Waking Beauty,Sarah E. Morin,9781621840435,Gilead Publishing,,467,6.00(w) x 8.90(h) x 1.40(d)
693,Black Fallen (Dark Ink Chronicles Series #4),Elle Jasper,9780451413529,Penguin Publishing Group,,336,6.60(w) x 4.10(h) x 1.20(d)
694,The Golem: What You Should Know About Science / Edition 2,Harry M. Collins;  Trevor Pinch,9781107604650,Cambridge University Press,Second edition,212,5.40(w) x 8.50(h) x 0.50(d)
695,The History of Science Fiction,Adam Roberts,9781137569592,Palgrave Macmillan UK,2nd ed. 2016,524,6.10(w) x 9.25(h) x (d)
696,Peter Pan And Wendy,J. M. Barrie,9781983650659,CreateSpace Publishing,,130,6.00(w) x 1.25(h) x 9.00(d)
697,Diamond Dogs Turquoise Days (Revelation Space Series #6),Alastair Reynolds,9780441012787,Penguin Publishing Group,Reprint,304,4.20(w) x 6.70(h) x 0.80(d)
698,Misbegotten Missionary,Isaac Asimov,9781515405634,Wilder Publications,,24,6.00(w) x 9.00(h) x 0.06(d)
699,The Sandman Volume 2: The Doll's House (New Edition): New Edition,Neil Gaiman;  Mike Dringenberg;  Malcolm Jones,9781401227999,DC Comics,New Edition,232,6.60(w) x 10.10(h) x 0.40(d)
700,Game Physics / Edition 2,David H. Eberly,9780123749031,Taylor & Francis,New Edition,944,7.70(w) x 9.40(h) x 1.60(d)
701,Every Body on Deck (Savannah Reid Series #22),G. A. McKevett,9781496700827,Kensington,,304,5.30(w) x 8.40(h) x 1.30(d)
702,Back to School Murder (Lucy Stone Series #4),Leslie Meier,9780758288356,Kensington,,256,4.10(w) x 6.70(h) x 0.60(d)
703,Amnesia,Cambria Hebert,9781946836038,Cambria Hebert,,410,6.00(w) x 1.25(h) x 9.00(d)
704,Invasions USA: The Essential Science Fiction Films of the 1950s,Michael Bliss,9781442236516,Rowman & Littlefield Publishers Inc.,,188,6.20(w) x 9.00(h) x 0.80(d)
705,Silent Music: The Science of Meditation / Edition 2,William Johnston,9780823217755,Fordham University Press,2,190,8.40(w) x 5.50(h) x 0.50(d)
706,A Sky Unbroken,Megan Crewe,9781503946576,Amazon Publishing,,337,5.40(w) x 8.20(h) x 1.10(d)
707,Alien Dimensions: Science Fiction Fantasy and Metaphysical Short Stories #11,Neil A. Hogan;  Sean Mulroy;  James Armer,9781973955726,CreateSpace Publishing,,78,6.00(w) x 1.25(h) x 9.00(d)
708,Color me Anime Vol. 2,Coloring Design,9781544648743,CreateSpace Publishing,,100,6.00(w) x 1.25(h) x 9.00(d)
709,A Science Fiction Cookbook: And Guide to Edible Niceties,Nicole Lynn Roach,9780692274088,Rogue Shoebox,,72,6.00(w) x 9.00(h) x 0.19(d)
710,Fifty Shades of Grey Blank Notebook and Journal,E. L. James,9781543010718,CreateSpace Publishing,,400,8.50(w) x 11.00(h) x 0.82(d)
711,The Dangerous Alphabet,Neil Gaiman;  Gris Grimly,9780060783358,HarperCollins Publishers,,32,10.80(w) x 6.80(h) x 0.20(d)
712,Paratexts: Introductions to Science Fiction and Fantasy,James Gunn,9780810891227,Rowman & Littlefield Publishers Inc.,,242,6.00(w) x 8.90(h) x 0.60(d)
713,Knife Creek (Mike Bowditch Series #8),Paul Doiron,9781250102355,St. Martin's Press,,352,9.30(w) x 6.40(h) x 1.20(d)
714,Murder in Saint-Germain (Aimee Leduc Series #17),Cara Black,9781616957704,Soho Press Incorporated,,336,6.30(w) x 8.60(h) x 1.20(d)
715,Bad Vice: A Gotcha Detective Agency Mystery,Jamie Lee Scott,9781500270278,CreateSpace Publishing,,212,5.00(w) x 8.00(h) x 0.53(d)
716,Witchblade Volume 8,Ron Marz,9781607061021,Image Comics,,176,6.40(w) x 10.10(h) x 0.50(d)
717,Darker Passions,Edward Bryant,9781495278242,CreateSpace Publishing,,76,5.00(w) x 8.00(h) x 0.18(d)
718,Race and Popular Fantasy Literature: Habits of Whiteness,Helen Young,9781138850231,Taylor & Francis,,238,6.20(w) x 9.20(h) x 0.60(d)
719,Big Cats,ABDO Publishing Company,9781629700007,ABDO Publishing Company,,24,9.30(w) x 11.30(h) x 1.70(d)
720,Severe Clear (Stone Barrington Series #24),Stuart Woods,9780451414373,Penguin Publishing Group,,384,4.20(w) x 7.40(h) x 1.10(d)
721,Alex the Superhero,Peter Hayward,9781499753820,CreateSpace Publishing,,30,7.00(w) x 10.00(h) x 0.08(d)
722,Blood Moon,Angela Roquet,9781507890493,CreateSpace Publishing,,160,5.00(w) x 8.00(h) x 0.37(d)
723,Finding Ruby Starling,Karen Rivers,9780545534796,Scholastic Inc.,,288,5.50(w) x 8.30(h) x 1.20(d)
724,Lost Legacy (Zoe Chambers Series #2),Annette Dashofy,9781940976242,Henery Press,,292,5.40(w) x 8.40(h) x 0.70(d)
725,Homage to Catalonia,George Orwell,9780544382046,Houghton Mifflin Harcourt,,304,5.30(w) x 7.90(h) x 0.90(d)
726,The Canterbury Tales (Barnes & Noble Classics Series),Geoffrey Chaucer,9781593080808,Barnes & Noble,Annotated edition,912,5.18(w) x 8.00(h) x 1.83(d)
727,Gift From the Stars,James Gunn,9781944387112,Reputation Books,,270,5.25(w) x 8.00(h) x 0.61(d)
728,We Stand on Guard,Brian K. Vaughan,9781534301412,Image Comics,Reprint,160,6.40(w) x 9.50(h) x 0.60(d)
729,Skeleton Key,Jeff LaFerney,9780615836478,Tower Publications,,236,6.00(w) x 9.00(h) x 0.54(d)
730,Bridge of Dreams (Ephemera Series #3),Anne Bishop,9780451464736,Penguin Publishing Group,Reprint,480,4.10(w) x 6.70(h) x 1.40(d)
731,Shades of Light,Carl Hitchens,9781491702581,iUniverse Incorporated,,116,6.00(w) x 9.00(h) x 0.28(d)
732,Dead Watch,John Sandford,9780425215692,Penguin Publishing Group,Reprint,416,4.25(w) x 7.50(h) x 0.89(d)
733,Science: Notebook - Black,Kickazz Notebooks,9781514181638,CreateSpace Publishing,,192,5.00(w) x 8.00(h) x 0.41(d)
734,Wicked Appetite (Lizzy and Diesel Series #1),Janet Evanovich,9780312383350,St. Martin's Press,,352,3.98(w) x 6.84(h) x 0.96(d)
735,Monstrous Creatures,Jeff VanderMeer,9781935738039,Raw Dog Screaming Press,,252,6.00(w) x 9.00(h) x 0.57(d)
736,"Brass Vintage Desktop Armillary Globe (5"" x 5"")",Barnes & Noble; Other Format,9780594776956,Barnes & Noble,,,7.50(w) x 7.30(h) x 5.30(d)
737,Peter Pan (Barnes & Noble Collectible Editions),J. M. Barrie,9781435154704,Barnes & Noble,Bonded Leather,200,6.30(w) x 8.30(h) x 0.80(d)
738,Foundation and Empire (Foundation Series #2),Isaac Asimov,9780553382587,Random House Publishing Group,Reprint,272,5.50(w) x 8.20(h) x 0.54(d)
739,Favorite Sherlock Holmes Detective Stories,Arthur Conan Doyle,9780486412429,Dover Publications,Unabridged,208,5.18(w) x 8.21(h) x 0.51(d)
740,The 2017 Rhysling Anthology: The best science fiction fantasy amp; horror poetry of 2016 selected by the Science Fiction Poetry Association,David C. Kopaska-Merkel,9781544713403,CreateSpace Publishing,,218,5.50(w) x 8.50(h) x 0.46(d)
741,Kristin Hannah - Collection: Between Sisters & Home Again & Firefly Lane by Kristin Hannah  Laural Merlington  Tanya E,  Susan Ericksen,9781531863883,Brilliance Audio,Unabridged,,5.75(w) x 6.25(h) x 0.70(d)
742,Fairy Tale Desserts: A Cookbook for Young Readers and Eaters,Jane Yolen,9781607545835,Rosen Publishing Group Incorporated The,,31,8.50(w) x 11.10(h) x 0.30(d)
743,Star Trek Volume 8,Mike Johnson;  Yasmin Liang;  Erfan Fajar;  Joe Corroney,9781631400216,IDW Publishing,,152,6.60(w) x 10.10(h) x 0.40(d)
744,Allied Artists Horror Science Fiction and Fantasy Films,Michael R. Pitts,9780786460465,McFarland & Company Incorporated Publishers,,254,6.90(w) x 9.90(h) x 0.50(d)
745,Christmas Books,Charles Dickens,9781406792539,Hesperides Press,,448,5.50(w) x 8.50(h) x 1.00(d)
746,Inside HBO's Game of Thrones: Seasons 3 & 4,C. A. Taylor,9781452122182,Chronicle Books LLC,,192,9.00(w) x 11.10(h) x 1.00(d)
747,Haunted,James Herbert,9781509816026,Pan Macmillan,Reprint,400,5.00(w) x 7.50(h) x 0.60(d)
748,The Scarlet Letter and Other Writings / Edition 2,Nathaniel Hawthorne,9780393264890,Norton W. W. & Company Inc.,Second Edition,752,5.60(w) x 9.10(h) x 0.90(d)
749,Star Trek: Khan,Mike Johnson;  Claudio Balboni,9781613778951,IDW Publishing,,124,6.60(w) x 10.20(h) x 0.40(d)
750,The Procedure,Harry Mulisch,9780142001271,Penguin Publishing Group,Reprint,240,5.07(w) x 7.70(h) x 0.53(d)
751,Pride and Prejudice (Barnes & Noble Classics Series),Jane Austen,9781593082017,Barnes & Noble,,432,5.10(w) x 7.90(h) x 1.20(d)
752,Count Me a Rhyme: Animal Poems by the Numbers,Jane Yolen,9781620917336,Highlights,Reprint,32,8.50(w) x 9.50(h) x 0.10(d)
753,Intersections: Fantasy and Science Fiction,George E Slusser;  Eric S Rabkin,9780809313747,Southern Illinois University Press,1st Edition,252,5.50(w) x 8.50(h) x 1.00(d)
754,Exotic Dusk: A Story Told by Candlelight,Ron Koppelberger,9781480138612,CreateSpace Publishing,,98,6.00(w) x 9.00(h) x 0.23(d)
755,The Eternal Husband,Fyodor Dostoevsky;  Hugh Aplin;  Andrew Miller,9781843911630,Hesperus Press,,176,5.00(w) x 8.00(h) x 0.55(d)
756,Fairy Tales Come True At Christmas ~ Grey Scale Edition,Laurel Marie Sobol,9781494323165,CreateSpace Publishing,,62,8.50(w) x 11.00(h) x 0.13(d)
757,Depression Oil Trading & A Mind At War With Itself,Jonathan  Ford,9781783822676,Chipmunkapublishing,,264,5.00(w) x 8.00(h) x 0.60(d)
758,Five Science Faction Stories,S. Kaye Saunders,9781257919147,Lulu.com,,202,6.00(w) x 9.00(h) x 0.46(d)
759,Star Trek Volume 13,Mike Johnson;  Tony Shasteen,9781631407758,IDW Publishing,,140,6.60(w) x 10.10(h) x 1.10(d)
760,Family Jewels (Stone Barrington Series #37),Stuart Woods,9780451477248,Penguin Publishing Group,,352,4.20(w) x 7.40(h) x 1.00(d)
761,Spawn: Origins Collection Deluxe Edition Volume 4 Signed & Numbered,Todd McFarlane;  Brian Holguin,9781607068327,Image Comics,HC Signed & Numbered,712,8.50(w) x 12.60(h) x 1.90(d)
762,Gun Control,John E. Ferguson;  Alan Marzilli;  Angela Valdez,9781604139051,Facts on File Incorporated,,118,6.00(w) x 9.10(h) x 0.20(d)
763,Gendering Science Fiction Films: Invaders from the Suburbs,S. George,9781349458103,Palgrave Macmillan US,1st ed. 2013,193,5.51(w) x 8.50(h) x (d)
764,Reinventing Development: The Sceptical Change Agent,Adam Fforde,9783319502267,Springer International Publishing,1st ed. 2017,288,5.83(w) x 8.27(h) x (d)
765,Lost Boy: The Story of the Man Who Created Peter Pan,Jane Yolen;  Steve Adams,9780525478867,Penguin Young Readers Group,,40,8.90(w) x 11.10(h) x 0.40(d)
766,Dot Dot Dot: Infinity Plus God Equals Folly,James a. Lindsay,9780956694898,Ginger Prince Publications,,218,5.25(w) x 8.00(h) x 0.46(d)
767,The End of Eternity,Isaac Asimov,9780765319197,Tom Doherty Associates,First Edition,256,5.40(w) x 8.20(h) x 0.80(d)
768,28 Boys,Ashleigh Giannoccaro,9781544740799,CreateSpace Publishing,,300,5.50(w) x 8.50(h) x 0.63(d)
769,The Best Science Fiction and Fantasy of the Year: Volume Eleven,Jonathan Strahan,9781781085622,Solaris,,500,5.90(w) x 9.00(h) x 1.70(d)
770,A Journey to the Centre of the Earth: The original edition,Jules Verne,9783959401890,Reprint Publishing,,336,6.00(w) x 9.00(h) x 0.70(d)
771,Jane Eyre (Barnes & Noble Classics Series),Charlotte Bronte,9781593081171,Barnes & Noble,,592,5.18(w) x 8.00(h) x 1.48(d)
772,A Brief History of Time: From the Big Bang to Black Holes,Stephen Hawking,9780553380163,Random House Publishing Group,10th Anniversary Edition,224,6.00(w) x 9.00(h) x 0.60(d)
773,Boy A: Movie Tie-in Edition,Jonathan Trigell,9781846686627,Serpent's Tail Publishing Ltd,Media tie-in,256,5.14(w) x 7.72(h) x 0.66(d)
774,The Monstrous,Ellen Datlow,9781616962067,Tachyon Publications,,384,5.90(w) x 8.90(h) x 1.10(d)
775,I Don't Like It: Notebook,Wild Pages Press,9781979115285,CreateSpace Publishing,,152,6.00(w) x 1.25(h) x 9.00(d)
776,A Light in the Midst of Darkness,Erik Loebl,9781602663930,Xulon Press,,124,0.29(w) x 5.00(h) x 8.00(d)
777,The Return (Spirit Animals: Fall of the Beasts Series #3),Varian Johnson,9780545842075,Scholastic Inc.,,192,5.60(w) x 8.10(h) x 0.70(d)
778,Passage to Ararat,Michael J. Arlen,9780374530129,Farrar Straus and Giroux,Second Edition,312,5.50(w) x 8.50(h) x 0.69(d)
779,Fatal Consequences (and Fatal Destiny) (Fatal Series #3),Marie Force,9780373004171,Harlequin,,576,4.10(w) x 6.60(h) x 1.40(d)
780,Dark Prince: Author's Cut Special Edition (Carpathian Series #1),Christine Feehan,9780062019554,HarperCollins Publishers,Author's Cut Special Edition,480,4.26(w) x 6.80(h) x 1.08(d)
781,Ghost in the Hunt,Jonathan Moeller,9781500915001,CreateSpace Publishing,,250,6.00(w) x 9.00(h) x 0.53(d)
782,El atraco (The Heist),Daniel Silva,9780829702484,HarperCollins Publishers,Spanish-language Edition,512,5.90(w) x 9.00(h) x 1.40(d)
783,Fantastic Voyages: Learning Science Through Science Fiction Films / Edition 2,Leroy W. Dubeck;  Suzanne E. Moshier;  Judith E. Boss,9780387004402,Springer New York,2nd ed. 2004,347,6.10(w) x 9.25(h) x 0.36(d)
784,The Science of Fairy Tales,Edwin Sidney Hartland,9781544986548,CreateSpace Publishing,,348,6.00(w) x 9.00(h) x 0.72(d)
785,The Best Science Fiction and Fantasy of the Year Volume 3,Jonathan Strahan,9781597801492,Night Shade Books,,478,6.00(w) x 8.90(h) x 1.60(d)
786,Jewels,Danielle Steel,9780440214229,Random House Publishing Group,Reprint,480,4.15(w) x 6.90(h) x 1.25(d)
787,The Silk Palace,Colin Harvey,9781934041420,Swimming Kangaroo Books,,392,6.00(w) x 9.00(h) x 0.81(d)
788,Charles Barnes & G. Clifford Noble: Groundbreaking Entrepreneurs,Kayla Morgan,9781604537581,ABDO Publishing Company,,112,6.10(w) x 9.10(h) x 0.50(d)
789,A Plague of Unicorns,Jane Yolen,9780310746119,Zonderkidz,,192,5.40(w) x 8.20(h) x 0.60(d)
790,Advances in Artificial Transportation Systems and Simulation,Rosaldo J F Rossetti;  Ronghui Liu,9780123970411,Elsevier Science,,256,7.50(w) x 9.30(h) x 0.70(d)
791,Inside Science Fiction,James Gunn,9780810857148,Rowman & Littlefield Publishers Inc.,Second Edition,260,6.00(w) x 8.90(h) x 0.60(d)
792,Flashes of the Fantastic: Selected Essays from the War of the Worlds Centennial Nineteenth International Conference on the Fantastic in the Arts (Contributions to the Study of Science Fiction and Fantasy Series #107),David Ketterer,9780313316074,ABC-CLIO Incorporated,,268,6.00(w) x 9.00(h) x 0.75(d)
793,Blood Silver: The Yocum Dollar,Woody P Snow,9781940222226,Pen-L Publishing,,268,6.00(w) x 9.00(h) x 0.61(d)
794,Animals of North America,ABDO Publishing Company,9781680801064,ABDO Publishing Company,,24,9.40(w) x 11.50(h) x 1.70(d)
795,RunawaysVolume 1,Brian Vaughan,2900785185580,Baker & Taylor Inc.,,,6.00(w) x 1.25(h) x 9.00(d)
796,Man and Superman and Three Other Plays (Barnes & Noble Classics Series),George Bernard Shaw,9781593080679,Barnes & Noble,,576,5.19(w) x 8.00(h) x (d)
797,The Varieties of Religious Experience (Barnes & Noble Classics Series),William James,9781593080723,Barnes & Noble,,512,5.18(w) x 8.00(h) x 1.28(d)
798,Daniel J. Boorstin,Angela Michele Leonard Ph.D.,9780313303241,ABC-CLIO Incorporated,,272,6.00(w) x 9.00(h) x 0.75(d)
799,The S?ance,John Harwood;  To Be Announced To Be Announced,9781482951462,Blackstone Audio Inc.,Unabridged,,5.40(w) x 7.50(h) x 0.60(d)
800,Star Trek: The Original Series: From History's Shadow,Dayton Ward,9781476719009,Pocket Books/Star Trek,,400,4.42(w) x 6.66(h) x 1.06(d)
801,Star Trek: Captain's Log,Scott Tipton;  David Tipton;  Marc Guggenheim;  Stuart Moore,9781600108877,IDW Publishing,,104,6.50(w) x 10.10(h) x 0.30(d)
802,Deliverer (Third Foreigner Series #3),C. J. Cherryh,9780756404673,DAW,Reissue,416,4.15(w) x 6.70(h) x 1.10(d)
803,Around the World in 80 Days,Eason,9780881453874,Broadway Play Publishing Inc,New Edition,86,5.50(w) x 8.50(h) x 0.18(d)
804,Night Moves (Alex Delaware Series #33),Jonathan Kellerman,9780345541468,Random House Publishing Group,,416,6.20(w) x 9.30(h) x 1.50(d)
805,Chance Meeting,Laura Moore,9781476797199,Gallery Books,,432,4.90(w) x 7.80(h) x 1.20(d)
806,Vices of My Blood,Maureen Jennings,9780771046780,McClelland & Stewart,,480,5.20(w) x 7.90(h) x 1.30(d)
807,Bodyguard: An Under Covers Story,James Patterson;  Jessica Linden,9780316320146,Little Brown and Company,BookShots,160,4.90(w) x 7.00(h) x 0.60(d)
808,Dystopia: Tales Of The Bookbinders,Charles Eugene Anderson,9781522702504,CreateSpace Publishing,,38,5.50(w) x 8.50(h) x 0.08(d)
809,A Monk of Fife: Classics,Andrew Lang,9781977773005,CreateSpace Publishing,,254,6.00(w) x 1.25(h) x 9.00(d)
810,I am George Washington,Brad Meltzer;  Christopher Eliopoulos,9780525428480,Penguin Young Readers Group,,40,7.70(w) x 7.60(h) x 0.50(d)
811,Farm Fresh Murder (Farmer's Market Mystery Series #1),Paige Shelton,9780425233870,Penguin Publishing Group,,304,4.10(w) x 6.70(h) x 1.10(d)
812,High Stakes,Kathy Herman,9781601420060,The Crown Publishing Group,,312,5.00(w) x 8.10(h) x 0.90(d)
813,The Awakening,Jude Deveraux,9780671743789,Pocket Books,Reissue,352,4.18(w) x 6.75(h) x 0.70(d)
814,Black and Brown Planets: The Politics of Race in Science Fiction,Isiah Lavender,9781496807755,University Press of Mississippi,Reprint,264,6.00(w) x 8.90(h) x 0.80(d)
815,GPGPU Programming for Games and Science,David H. Eberly,9781466595354,Taylor & Francis,,469,7.70(w) x 9.30(h) x 1.10(d)
