title,author,isbn,publisher,edition,pages,dimension
Perfect (Flawed),Cecelia Ahern,9.78E+12,Feiwel & Friends,Unknown,,
Bone Rooms,Samuel J. Redman,9.78E+12,Harvard University Press,Unknown,,
Great Maps (Dk Smithsonian),Jerry Brotton,9.78E+12,DK,Unknown,,
Conversations with Socrates Library of Essential Reading,Xenophon,9.78E+12,Barnes & Noble Books,Unknown,,
Lords and Ladies (Discworld),Terry Pratchett,9.78E+12,Harper,Unknown,,
Breaking the Silence,Diane Chamberlain,9.78E+12,Mira Books,Unknown,407 pages,5.20 x 8.10 x 1.10 inches
God's Smuggler,Sherrill; John; Sherrill; Elizabeth Brother Andrew,9.78E+12,Chosen Books,Unknown,,
Jacob Jump,Eric Morris,9.78E+12,Story River Books,Unknown,,
The Complete Book of Baby Bargains,Kimberly Danger,9.78E+12,Sourcebooks,2,432 pages,5.10 x 7.08 x 1.01 inches
The Principal Reader,Darrin Griffiths,9.78E+12,Word & Deed Publishing Incorporated,Unknown,,
Critique of Practical Reason and Other Works on the Theory of Ethics,Thomas Kingsmill Abbott (Translator); Dennis Immanuel Kant,9.78E+12,Unknown,Unknown,,
Hit Makers,Derek Thompson,9.78E+12,Penguin Audio,Unknown,,
Hard Times,Charles Dickens; Karen Odden,9.78E+12,Barnes & Noble Classics,Unknown,352 pages,5.18 x 8.03 x 0.99 inches
The Infallible Word,N. B. Stonehouse; Paul Woolley; Martyn Lloyd-Jones,9.78E+12,P & R Publishing,2,308 pages,5.24 x 8.20 x 0.69 inches
Flower Fairies Postcard Book,Cicely Mary Barker,9.78E+12,Frederick Warne and Company,Unknown,64 pages,7.12 x 5.12 x 0.51 inches
American Popular Music,David Lee Joyner,9.78E+12,McGraw-Hill Humanities/Social Sciences/Langua,3,330 pages,7.90 x 9.90 x 0.50 inches
Tin Swift,Devon Monk,9.78E+12,Roc,Unknown,,
I Want to Be a Firefighter,Firefly Books,9.78E+12,Firefly Books,Unknown,24 pages,7.94 x 7.94 x 0.08 inches
The Codex,Douglas J. Preston,9.78E+12,Tor Books,Unknown,404 pages,4.24 x 6.78 x 1.15 inches
Checkerboard Biography Library,Mae Woods,9.78E+12,Abdo Publishing Company,Unknown,,8.30 x 8.30 x 1.70 inches
The Clone Alliance,Steven L. Kent,9.78E+12,Ace Books,Unknown,369 pages,4.26 x 6.76 x 1.01 inches
Pacific Crucible,Ian W. Toll,9.78E+12,W. W. Norton & Company,Unknown,640 pages,
The Baltimore Sabotage Cell,Dwight R. Messimer,9.78E+12,Naval Institute Press,Unknown,,
Nordic Folklore,Reimund Kvideland; Henning K. Sehmsdorf; Elizabeth Simpson,9.78E+12,Indiana University Press,Unknown,272 pages,6.16 x 9.23 x 0.86 inches
American Hero Stories,Eva March Tappan,9.78E+12,Lowe Press,Unknown,272 pages,5.50 x 8.50 x 0.61 inches
The American Heritage Children's Science Dictionary b,American Heritage Children's Science Dictionary by,9.78E+12,Houghton Mifflin Harcourt,Unknown,,
Banished (Forbidden),Kimberley Griffiths Little,9.78E+12,HarperCollins,Unknown,,
iLead,Steven N Puckett,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Alexander Hamilton - A Short Biography (30 Minute Book Series) (Volume 10),Doug West,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
From Rocket Boys to October Sky,Homer Hickam,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Communism in America,Henry Ammon James,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Race and Affluence,Paul R. Mullins,9.78E+12,Springer-Verlag New York Inc.,Unknown,231 pages,6.10 x 9.25 x 0.51 inches
The Bride Tournament,Ruth Kaufman,9.78E+12,Ruth J. Kaufman,Unknown,,
Cracking the SAT Physics Subject Test 15th Edition (College Test Preparation),Princeton Review,9.78E+12,Princeton Review,Unknown,,
My Love and Life,Michael Black,9.78E+12,Authorhouse,Unknown,112 pages,4.72 x 11.06 x 0.31 inches
Nothing Stays Buried (A Monkeewrench Novel),P. J. Tracy,9.78E+12,G.P. Putnam's Sons,Unknown,,
Night and Day (The Night Stalkers CSAR) (Volume 3),M. L. Buchman,9.78E+12,Buchman Bookworks Inc.,Unknown,,
Dead in 5 Heartbeats,"Ralph ""Sonny"" Barger; Sonny Barger",9.78E+12,HarperTorch,Unknown,304 pages,4.26 x 6.76 x 0.81 inches
Anglo-Norman Studies XIX,Christopher Harper-Bill,9.78E+12,Boydell Press,Unknown,420 pages,6.14 x 9.21 x 1.00 inches
The Red Badge of Courage,Stephen Crane; George Stade; Richard Fusco,9.78E+12,Barnes & Noble,Unknown,198 pages,5.28 x 8.00 x 0.62 inches
Black in the Light,Dr. Marcia B. Wilson,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
American History 1,BarCharts Inc,9.78E+12,Barcharts,Unknown,6 pages,
The Extraordinary Adventures of Alfred Kropp,Rick Yancey,9.78E+12,Bloomsbury USA Childrens,Unknown,,
Symposium,Plato; Paul Woodruff,9.78E+12,Hackett Publishing Company,Unknown,110 pages,5.30 x 8.30 x 0.40 inches
Swann's Way,Marcel Proust; C. K. Scott Moncrieff; Elizabeth Dalton,9.78E+12,Barnes & Noble,Unknown,466 pages,5.36 x 7.98 x 1.40 inches
The Coalwood Way,Homer H. Hickam,9.78E+12,Island,Unknown,400 pages,4.48 x 6.84 x 1.13 inches
Derby Girl,Sammi Jones,9.78E+12,North Dakota State University Press,Unknown,,
Attacked by a Crocodile,Sue Hamilton,9.78E+12,Abdo Publishing Company,Unknown,32 pages,7.80 x 9.80 x 0.40 inches
Alliance of Enemies,Agostino Von Hassell; Sigrid MacRae; Simone Ameskamp,9.78E+12,St. Martin's Griffin,Unknown,391 pages,6.24 x 9.14 x 1.10 inches
Quarry,A Wayne Ross,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Simpsons Comics Extravaganza,Matt Groening,9.78E+12,It Books,Unknown,128 pages,6.68 x 10.19 x 0.37 inches
The Wings of the Dove,Henry; Jr. James; George Stade; Bruce L. R. Smith,9.78E+12,Barnes & Noble Classics,Unknown,508 pages,5.32 x 8.41 x 1.48 inches
The Better Angels of Our Nature,Steven Pinker,9.78E+12,Penguin Books,Unknown,832 pages,
Emma,Jane Austen; Steven Marcus; Victoria Blake,9.78E+12,Barnes & Noble,Unknown,451 pages,5.18 x 8.01 x 1.58 inches
Flanders,Andre de Vries,9.78E+12,Oxford University Press USA,Unknown,256 pages,6.34 x 8.29 x 1.10 inches
Crocodile,Dan Wylie,9.78E+12,Reaktion Books,Unknown,224 pages,5.31 x 7.48 x 0.00 inches
Pharaoh,David Gibbins,9.78E+12,Dell,Unknown,,
Essential Dictionary of Orchestration: Ranges General Characteristics Technical Considerations Scoring Tips,Dave Black; Tom Gerou,9.78E+12,Alfred Publishing Company,2,352 pages,4.28 x 5.58 x 0.56 inches
Impossible Stories II,Zoran Zivkovic,9.78E+12,Cadmus Press,Unknown,,
The Cemeteries of New Orleans,Peter B. Dedek,9.78E+12,LSU Press,Unknown,,
Hegel Heidegger and the Ground of History,Michael Allen Gillespie,9.78E+12,University of Chicago Press,Unknown,,5.88 x 8.99 x 0.54 inches
Her America,Susan Glaspell; Patricia L. Bryan; Martha C. Carpentier,9.78E+12,University of Iowa Press,Unknown,220 pages,6.00 x 8.90 x 0.80 inches
Insurance Systems in Times of Climate Change,Cornel Quinto,9.78E+12,Springer,Unknown,154 pages,6.10 x 9.10 x 0.60 inches
Emma (Wisehouse Classics - With Illustrations by H.M. Brock) (2016),Jane Austen,9.79E+12,Wisehouse Classics,Unknown,,
The Dark Horse,Craig Johnson,9.78E+12,Penguin Books,Unknown,318 pages,5.04 x 7.74 x 0.61 inches
Alexander Hamilton,Frederick Scott Oliver,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
More New York Stories,Constance Rosenblum,9.78E+12,New York University Press,Unknown,295 pages,6.10 x 9.00 x 0.90 inches
The Best American Science Writing,Atul Gawande,9.78E+12,Harper Perennial,Unknown,362 pages,6.20 x 8.02 x 0.92 inches
Life Is a Game,D.J. Con,9.78E+12,iUniverse,Unknown,,
Dannie's Dilemmas,Carol Haldane,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Follow Your Heart to Discover Your Life Purpose,Kelly Maclellan M. Sc,9.78E+12,iUniverse.com,Unknown,152 pages,5.51 x 8.50 x 0.33 inches
Incognita (Tabula Rasa Saga) (Tabula Rasa Trilogy),Kristen Lippert-Martin,9.78E+12,Carolrhoda Lab TM,Unknown,,
Marathon (Battles),David J. Califf,9.78E+12,Chelsea House Publications,Unknown,112 pages,6.66 x 9.50 x 0.48 inches
No Time for Fear,Dianne Burke Fessler; Diane Fessler; Fessler,9.78E+12,Michigan State University Press,Unknown,280 pages,6.04 x 9.04 x 0.64 inches
The Empire of Death,Paul Koudounaris,9.78E+12,Thames & Hudson,Unknown,224 pages,9.10 x 12.20 x 1.00 inches
From Junk Food to Joy Food,Joy Bauer,9.78E+12,Hay House Inc.,Unknown,,
It's Our Turn to Eat,Michela Wrong,9.78E+12,Harper Perennial,Unknown,354 pages,5.30 x 7.90 x 1.00 inches
A History of Lutheranism,Eric W. Gritsch,9.78E+12,Fortress Press,2,351 pages,7.43 x 9.16 x 1.00 inches
Mavericks of the Sky,Barry Rosenberg; Catherine Macaulay,9.78E+12,Harper Perennial,Unknown,341 pages,5.32 x 8.00 x 0.90 inches
A Treasury of Sayers Stories,Dorothy Leigh Sayers,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Unforgiven,Alan LeMay,9.78E+12,AmazonEncore,Unknown,,
Laboring,Ellen Cohen,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Billy D. An American Hero,Mark D Kasper,9.78E+12,,Unknown,188 pages,5.98 x 9.02 x 0.39 inches
Moon Manual (Haynes Owners' Workshop Manual),David M Harland,9.78E+12,Haynes Publishing UK,Unknown,,
Escape Into Danger,Sophia Orlovsky Williams,9.78E+12,Rowman & Littlefield Publishers,Unknown,328 pages,6.42 x 8.94 x 1.13 inches
Chickasaw,Barbara A. Gray-Kanatiiosh,9.78E+12,Abdo Publishing Company,Unknown,32 pages,8.04 x 7.83 x 0.32 inches
Magna Carta,Ralph Turner,9.78E+12,Longman,Unknown,288 pages,6.46 x 9.38 x 0.81 inches
In the Footsteps of the Red Baron,Mike O'Connor; Norman Franks,9.78E+12,Pen & Sword Books,Unknown,160 pages,6.61 x 8.45 x 0.33 inches
Alexander Hamilton,Charles A. Conant,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Logics of Failed Revolt,Peter Starr,9.78E+12,Stanford University Press,Unknown,284 pages,6.15 x 9.23 x 0.75 inches
The Holy War,John Bunyan,9.78E+12,Ichthus Publications,Unknown,,
House of Spies,Daniel Silva,9.78E+12,Harper Paperbacks,Unknown,,
Coolidge,Amity Shlaes,9.78E+12,Harper Perennial,Unknown,,
Angelus,Sabrina Benulis,9.78E+12,Harper Voyager,Unknown,,
Democracy Education and the Schools,Soder; Roger Soder,9.78E+12,Jossey-Bass,Unknown,320 pages,6.32 x 9.27 x 1.04 inches
A Captain's Duty,Richard Phillips; Stephan Talty,9.78E+12,Hyperion Books,Unknown,286 pages,5.18 x 7.93 x 0.75 inches
The Mist Vanishes,Stephen Brennan,9.78E+12,Trusted Books,Unknown,,
Life,Diana Strickland,9.78E+12,Xulon Press,Unknown,70 pages,6.00 x 9.00 x 0.15 inches
Dictionary of Medical Sociology,William C. Cockerham; Ferris J. Ritchey,9.78E+12,Greenwood,Unknown,200 pages,6.40 x 9.56 x 0.79 inches
Dawn's Early Light,Larry R. Haggard,9.78E+12,FWB Publications,Unknown,,
Body for Life,Bill Phillips; Michael D'Orso,9.78E+12,HarperCollins Publishers,Unknown,201 pages,7.64 x 9.50 x 0.72 inches
Death in the Air,Kate Winkler Dawson,9.78E+12,Hachette Books,Unknown,,
The Return of the Native,Thomas Hardy; Lauren Walsh,9.78E+12,Barnes & Noble,Unknown,432 pages,5.35 x 7.96 x 1.33 inches
The Hidden History of America at War,Kenneth C. Davis,9.78E+12,Hachette Books,Unknown,,
Heart,Gail Godwin,9.78E+12,Harper Perennial,Unknown,336 pages,5.28 x 7.98 x 0.81 inches
Emma,Austen,9.78E+12,UDON Entertainment,Unknown,,
Hop Throw and Play,Rebecca Sjonger,9.78E+12,Crabtree Publishing Company,Unknown,,
The Best American Nonrequired Reading,Dave Eggers; Michael Cart,9.78E+12,Mariner Books,2002,273 pages,5.48 x 8.16 x 0.81 inches
Radium Girls,Amanda Gowin,9.78E+12,Thunderdome Press,Unknown,,
Empire of Conspiracy,Timothy Melley,9.78E+12,Cornell University Press,Unknown,264 pages,5.00 x 8.86 x 0.62 inches
Future Perfect,Steven Johnson,9.78E+12,Riverhead Trade,Unknown,,
Studyguide for Chemistry by Burdge Julia ISBN 9780073402734,Cram101 Textbook Reviews,9.78E+12,Cram101,Unknown,,
Curtain of Death (A Clandestine Operations Novel),W.E.B.; Butterworth IV; William E. Griffin,9.78E+12,G.P. Putnam's Sons,Unknown,,
The Elves of Cintra,Terry Brooks,9.78E+12,Del Rey Books,Unknown,449 pages,4.22 x 6.96 x 1.00 inches
Wake Up! a Mid-Life Challenge,Roy C. Richards,9.78E+12,Dog Ear Publishing,Unknown,268 pages,6.00 x 9.00 x 0.61 inches
Progressive Racism,David Horowitz,9.78E+12,Encounter Books,Unknown,,
A Game of Lies (A Hannah Vogel novel) (Volume 3),Rebecca Cantrell,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Black Clover Vol. 5,Yuki Tabata,9.78E+12,VIZ Media LLC,Unknown,,
Ripley's Fun Facts & Silly Stories BOXED SET 3 BOOKS b,ley's Fun Facts & Silly Stories BOXED SET 3 BOOKS by,9.78E+12,Ripley Publishing,Unknown,,
The Holding Hours (Pacific Northwest Poetry Series),Christianne Balk,9.78E+12,University of Washington Press,Unknown,,
Foundation,Peter Ackroyd,9.78E+12,St. Martin's Griffin,Unknown,,
Cracking the AP Physics 1 Exam 2018 Edition,Princeton Review,9.78E+12,Princeton Review,Unknown,,
Destined for Equality,Robert Max Jackson,9.78E+12,Harvard University Press,Unknown,316 pages,6.08 x 9.10 x 0.77 inches
The Good Son,Stella Sands,9.78E+12,St. Martin's True Crime,Unknown,262 pages,4.27 x 6.73 x 0.78 inches
Mormonism and Music,Michael Hicks,9.78E+12,University of Illinois Press,Unknown,243 pages,6.04 x 9.14 x 0.81 inches
Ellington Field - A Short History 1917-1963,National Aeronautics and Space Administration,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
A Military History of China,David A. Graff; Robin Higham,9.78E+12,University Press of Kentucky,2,336 pages,5.90 x 8.90 x 1.00 inches
Hidden History of Kensington & Fishtown,Kenneth W. Milano,9.78E+12,History Press,Unknown,141 pages,6.00 x 8.90 x 0.20 inches
The Battle of Atlanta and Other Campaigns Addresses Etc. (Illustrated Edition),Major-General Grenville M. Dodge,9.78E+12,Echo Library,Unknown,156 pages,9.01 x 5.98 x 0.36 inches
The Complete Book of Food Combining,Kathryn Marsden,9.78E+12,Piatkus Books,Unknown,466 pages,6.22 x 9.05 x 1.43 inches
Black Spark (Dark Magic Enforcer) (Volume 1),Al K. Line,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
And Then She Killed Him,Robert Scott,9.78E+12,Pinnacle Books,Unknown,320 pages,
No Greater Love,Danielle Steel,9.78E+12,Dell Publishing Company,Unknown,400 pages,4.19 x 6.74 x 1.09 inches
The Initiation and the Captive Part I,L. J. Smith,9.78E+12,Harper Teen,Unknown,396 pages,5.37 x 8.05 x 1.00 inches
Tim Rollins and K.O.S.,Ian Berry; Julie Ault; Susan Cahan,9.78E+12,MIT Press (MA),Unknown,272 pages,9.84 x 11.56 x 1.20 inches
Future Science,Max Brockman,9.78E+12,Vintage Books,Unknown,247 pages,5.33 x 7.96 x 0.82 inches
Transitioning,Dan Southerland,9.78E+12,Zondervan,Unknown,240 pages,5.60 x 8.46 x 0.65 inches
Franklin Pierce,Michael F. Holt; Arthur Meier; Jr. Schlesinger; Sean Wilentz,9.78E+12,Times Books,Unknown,154 pages,6.08 x 8.46 x 0.72 inches
The Life of the Bee,Maurice Maeterlinck Maeterlinck,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Cheever,Blake Bailey,9.78E+12,Vintage Books USA,Unknown,770 pages,5.28 x 7.95 x 1.64 inches
The Dish on Food and Farming in Colonial America,Anika Fajardo,9.78E+12,Capstone Press,Unknown,32 pages,7.40 x 8.50 x 0.20 inches
Hemingway the Poet,John; Valente; Judith Barr,9.78E+12,Lulu.com,Unknown,,
Dogs on Duty,Dorothy Hinshaw Patent,9.78E+12,Bloomsbury USA Childrens,Unknown,,
Zoya,Danielle Steel,9.78E+12,Presses De La Cite,Unknown,,
Common Sense - Originally Published as a Series of Pamphlets. Includes Reproduction of the First Page of the 1776 Edition.,Thomas Paine,9.78E+12,ARC Manor,Unknown,84 pages,5.00 x 8.00 x 0.20 inches
In the Person of Christ the Servant,Deacon Dominic Cerrato Ph.D.,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Mental Disabilities and the Americans with Disabilities ACT,John F. Fielder,9.78E+12,Praeger,Unknown,216 pages,5.42 x 8.60 x 0.85 inches
Come Tell Me How You Live,Agatha Christie Mallowan; Jacquetta Hawkes,9.78E+12,William Morrow & Company,Unknown,205 pages,4.95 x 8.55 x 0.52 inches
Hidden History of Greater Niagara,Bob Kostoff,9.78E+12,History Press,Unknown,126 pages,5.90 x 8.80 x 0.40 inches
The Operator,Robert O'Neill,9.78E+12,Scribner,Unknown,,
That Is So Me: 365 Days of Devotions,Nancy Rue,9.78E+12,Zonderkidz,Unknown,463 pages,5.80 x 8.32 x 1.19 inches
Linear,J.M. Black,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
A Brief History of Time,Stephen Hawking,9.78E+12,Bantam Books,10,224 pages,6.12 x 8.96 x 0.60 inches
The Icarus Syndrome,Peter Beinart,9.78E+12,Harper Perennial,Unknown,482 pages,6.21 x 9.07 x 0.98 inches
Best of Rome Florence and Venice,Wanderlust Pocket Guides,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Early Works of Edna St. Vincent Millay,Edna St. Vincent Millay,9.78E+12,Barnes and Noble,Unknown,,
Natural Disasters A Love Story,Geraldine Cantrell,9.78E+12,BookBaby,Unknown,,
This Bridge Will Not Be Gray,Dave Eggers,9.78E+12,McSweeney's,Unknown,,
Avalon High,Meg Cabot,9.78E+12,Harper Teen,Unknown,288 pages,5.31 x 8.08 x 0.81 inches
The Mystery of Murray Davenport A Story of New York at the Present Day,Robert Neilson Stephens,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
I. A. Richards and the Rise of Cognitive Stylistics,David West,9.78E+12,Bloomsbury Publishing PLC,Unknown,176 pages,6.14 x 9.21 x 0.00 inches
Good Night Flying Cows,Cherry R. Laurent,9.78E+12,Authorhouse,Unknown,16 pages,8.50 x 11.00 x 0.04 inches
Blood Will Out,Walter Kirn,9.78E+12,Liveright,Unknown,,
El circulo (Roca Editorial Criminal) (Spanish Edition),Bernard Minier,9.79E+12,Roca,Unknown,,
Fly by Night,Ward Larsen,9.78E+12,Oceanview Publishing,Unknown,,
Cooking New American,Fine Cooking Magazine,9.78E+12,Taunton Press,Unknown,240 pages,7.70 x 8.90 x 0.60 inches
My Rules for Being a Pretty Princess,Heath McKenzie,9.78E+12,Sourcebooks Jabberwocky,Unknown,,
The Pilgrim's Progress Every Child Can Read,John; P; S R Bunyan,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Dance of Death,Douglas; Child; Lincoln Preston,9.78E+12,Grand Central Publishing,Unknown,,
Thanks Obama,David Litt,9.78E+12,Ecco,Unknown,,
Behold I Stand at the Door and Knock,Merry Jo Hooker,9.78E+12,Xulon Press,Unknown,360 pages,8.50 x 5.51 x 0.80 inches
1st Black President,Paula Diane Harris,9.78E+12,Authorhouse,Unknown,312 pages,6.00 x 9.00 x 0.69 inches
Carrying Albert Home,Homer Hickam,9.78E+12,William Morrow Paperbacks,Unknown,,
Science by the Grade Grade 3,Harcourt Achieve,9.78E+12,Steck-Vaughn,Unknown,128 pages,8.42 x 10.86 x 0.28 inches
Aaron Burr,Brian McGrath,9.78E+12,Teacher Created Materials,Unknown,,
12 Strong,Doug Stanton,9.78E+12,Scribner,Unknown,,
All Kinds of Kisses,Heather Swain,9.78E+12,Feiwel & Friends,Unknown,,
The Pilgrim's Progress in Modern English (Large Print 16pt),John] (Bunyan,9.78E+12,ReadHowYouWant,Unknown,718 pages,10.00 x 7.01 x 1.44 inches
The Count of Monte Cristo,Alexandre Dumas; Luc Sante,9.78E+12,Barnes & Noble,Unknown,608 pages,4.91 x 8.30 x 1.74 inches
Flight #116 is Down!,Caroline B. Cooney,9.78E+12,Scholastic,Unknown,201 pages,4.28 x 6.81 x 0.58 inches
My Personal Journey on the Road of Life,Brandon L. Boswell,9.78E+12,iUniverse,Unknown,124 pages,6.00 x 9.00 x 0.29 inches
Red Sky at Night,James Hall,9.78E+12,Dell Publishing Company,Unknown,400 pages,5.50 x 8.50 x 0.90 inches
Morningstar,David Gemmell,9.78E+12,Del Rey Books,Unknown,304 pages,4.17 x 6.86 x 0.84 inches
The Lives of the Caesars (Barnes & Noble Library of Essential Reading),Suetonius; J. C. Rolfe; Molly Dauster,9.78E+12,Barnes & Noble,Unknown,448 pages,
Amiti amoureuse (French Edition),Hermine Lecomte Du Noy,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Black Roses,Christine M. Morgan,9.78E+12,Sabledrake Enterprises,Unknown,300 pages,6.08 x 8.98 x 0.81 inches
The New York Times Big Book of Easy Crosswords,Will Shortz,9.78E+12,St. Martin's Griffin,Unknown,240 pages,7.20 x 9.18 x 0.65 inches
Helvetica and the New York City Subway System,Paul Shaw,9.78E+12,MIT Press (MA),Unknown,131 pages,11.30 x 9.72 x 0.76 inches
Understanding Jane Smiley,Neil Nakadate,9.78E+12,University of South Carolina Press,2,288 pages,6.77 x 9.17 x 0.84 inches
Daniel Deronda,George Eliot; Earl L. Dachslager; George Stade,9.78E+12,Barnes & Noble,Unknown,735 pages,5.40 x 7.98 x 1.70 inches
Wicked Litchfield County,Peter C. Vermilyea,9.78E+12,The History Press,Unknown,,
Wake Up,Teresa Alessi,9.78E+12,Authorhouse,Unknown,128 pages,5.00 x 8.00 x 0.30 inches
The Monk of Mokha,Dave Eggers,9.78E+12,Random House Audio,Unknown,,
Life in a Plains Camp,Bobbie Kalman,9.78E+12,Crabtree Publishing Company,Unknown,32 pages,8.78 x 11.04 x 0.32 inches
Somerset Stories,Venetia Dearden; Jon Levy,9.78E+12,Kehrer Verlag,Unknown,128 pages,11.30 x 9.70 x 0.70 inches
Hiding Place,Corrie Ten Boom,9.78E+12,Barbour Publishing,Unknown,256 pages,5.48 x 8.04 x 0.87 inches
Daniel Deroda,George Eliot,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Fatal Flaws of the Most Correct Book on Earth,Claude Heater,9.78E+12,Xulon Press,Unknown,380 pages,8.25 x 11.00 x 0.78 inches
A Portrait of the Artist as a Young Man and Dubliners (Barnes & Noble Classics Series),James Joyce; Kevin J. H. Dettmar,9.78E+12,Barnes & Noble Classics,Unknown,464 pages,5.26 x 7.99 x 1.30 inches
Escape from the Third Reich,Sune Persson; Graham Long; Brian Urquhart,9.78E+12,Skyhorse Publishing,Unknown,274 pages,6.60 x 9.50 x 1.06 inches
The Pilgrim's Progress,John Bunyan,9.78E+12,Master Books,Unknown,860 pages,8.60 x 11.06 x 2.74 inches
The Savannah,Thomas L. Stokes; LaMar Dodd,9.78E+12,Cherokee Publishing Company (GA),Unknown,416 pages,6.00 x 9.00 x 0.93 inches
You're a Big Brother,Marianne Richmond,9.78E+12,Sourcebooks Jabberwocky,Unknown,,
McSweeney's 35 [With Booklet],Dave Eggers,9.78E+12,McSweeney's Books,Unknown,271 pages,6.58 x 8.24 x 0.73 inches
In the Sanctuary of Outcasts,Neil White,9.78E+12,Harper Perennial,Unknown,316 pages,5.46 x 8.04 x 0.88 inches
Arbatel: Concerning the Magic of Ancients,Joseph H. Peterson,9.78E+12,Ibis Press,Unknown,127 pages,6.10 x 9.10 x 0.80 inches
Strongheart,Don Bendell,9.78E+12,Berkley,Unknown,210 pages,5.09 x 6.64 x 0.63 inches
Desperate Hearts (One of A Kind) (Volume 2),Maxine Billings,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
World Christianities C.1914-C.2000,Hugh McLeod,9.78E+12,Cambridge University Press,Unknown,717 pages,6.24 x 9.20 x 1.92 inches
Hurricane,David Wiesner,9.78E+12,Clarion Books,Unknown,32 pages,9.10 x 10.75 x 0.10 inches
Intimate Warfare,Dennis; Raspanti; John J. Taylor,9.78E+12,Rowman & Littlefield Publishers,Unknown,,
Dark Summit,Nick Heil,9.78E+12,Henry Holt & Company,Unknown,271 pages,5.72 x 8.06 x 0.79 inches
Memories of a Lucky Man,Phillips Wylly,9.78E+12,Virtualbookworm.com Publishing,Unknown,,
Memoirs,William T. Sherman,9.78E+12,Barnes & Noble Books,Unknown,,
Dear World,Bana Alabed,9.78E+12,Simon & Schuster,Unknown,,
Fuego blanco  / White Fire (Pendergast Series) (Spanish Edition),Douglas; Child; Lincoln Preston,9.79E+12,Debolsillo,Unknown,,
Black,Denise Paulette Isaac,9.78E+12,GodBeGod Book Publishing,Unknown,,
Secured Transactions,Linda J. Rusch,9.78E+12,Gale Cengage,2,635 pages,8.40 x 10.80 x 1.10 inches
Famous Assassinations in World History [2 volumes],Michael Newton,9.78E+12,ABC-CLIO,Unknown,,
Agnes Grey,Anne Bronte; Fred Schwarzbach,9.78E+12,Barnes & Noble Classics,Unknown,256 pages,5.41 x 7.91 x 0.72 inches
Kill the Company,Lisa Bodell,9.78E+12,Bibliomotion,Unknown,237 pages,6.42 x 9.24 x 0.93 inches
Paying for College Without Going Broke 2018 Edition,Chany; Kalman Princeton Review,9.78E+12,Princeton Review,Unknown,,
Ethan Frome & Selected Stories (Barnes & Noble Classics Series),Edith Wharton; Kent Ljungquist,9.78E+12,Barnes & Noble Classics,Unknown,272 pages,5.20 x 8.06 x 0.73 inches
The Three Roosevelts,James MacGregor Burns; Susan Dunn,9.78E+12,Grove Press,Unknown,688 pages,5.99 x 9.04 x 1.49 inches
Fragment on Mackintosh,James Mill,9.78E+12,Thoemmes Press,Unknown,444 pages,5.60 x 8.70 x 1.40 inches
Arena Legacy,Richard Rattenbury; Ed Muno; Larry Mahan,9.78E+12,University of Oklahoma Press,Unknown,416 pages,10.20 x 12.20 x 1.70 inches
Diamond in the Rough,Shawn Colvin,9.78E+12,HarperCollins Publishers Inc,Unknown,240 pages,5.31 x 7.99 x 0.59 inches
Grant,Ron Chernow,9.78E+12,Penguin Audio,Unknown,,
Death Traps,Belton Y. Cooper,9.78E+12,Presidio Press,Unknown,384 pages,4.20 x 6.90 x 1.05 inches
A Wish on Gardenia Street,Shelley Shepard Gray,9.78E+12,Avon Inspire Impulse,Unknown,,
Nobodys Son,Cathy Glass,9.78E+12,Harper Element,Unknown,,
Dimensions of Human Behavior,Elizabeth D. Hutchison,9.78E+12,Sage Publications (CA),4,573 pages,7.90 x 9.90 x 1.00 inches
Botany b,any by,9.78E+12,CALLISTO REFERENCE,Unknown,,
Girl Scouts of Central Maryland,Roberta F. Dorsch,9.78E+12,Arcadia Publishing (SC),Unknown,127 pages,6.40 x 9.10 x 0.40 inches
Mary Hallock Foote,Darlis A. Miller,9.78E+12,University of Oklahoma Press,Unknown,320 pages,5.96 x 8.86 x 0.90 inches
