title,author,isbn,publisher,edition,pages,dimension
Code to Zero,Ken Follett,9.78E+12,New American Library,Unknown,372 pages,6.10 x 8.98 x 0.85 inches
Plants vs. Zombies Volume 2,Paul Tobin,9.78E+12,Dark Horse Books,Unknown,,
God's Smuggler,Sherrill; John; Sherrill; Elizabeth Brother Andrew,9.78E+12,Chosen Books,Unknown,,
Handbook on Book Repairing,P. H. Norton,9.78E+12,Brunton Press,Unknown,60 pages,5.50 x 8.50 x 0.14 inches
Comics' Second City,Mike Phoenix,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Studyguide for a History of World Societies Volume C,Cram101 Textbook Reviews,9.78E+12,Academic Internet Publishers,Unknown,150 pages,8.27 x 11.02 x 0.31 inches
Adventure Classics for Boys,Daniel Defoe; Robert Louis Stevenson,9.78E+12,Egmont Books (UK),Unknown,192 pages,7.30 x 9.60 x 0.70 inches
Abraham Lincoln,Seth Grahame-Smith,9.78E+12,Grand Central Publishing,Unknown,370 pages,5.21 x 8.02 x 1.03 inches
Once They Moved Like the Wind,David Roberts,9.78E+12,Touchstone Books,Unknown,368 pages,6.24 x 9.10 x 0.99 inches
Another Man's Moccasins,Craig Johnson,9.78E+12,Penguin Books,Unknown,290 pages,5.08 x 7.76 x 0.59 inches
Celtic Myths and Legends,T.W Rolleston,9.78E+12,Barnes and Noble,Unknown,,
Soul Eater Volume 4,Atsushi Ohkubo,9.78E+12,Yen Press,Unknown,208 pages,5.07 x 7.49 x 0.65 inches
Mommy's Little Girl,Diane Fanning,9.78E+12,St. Martin's True Crime,Unknown,337 pages,4.20 x 6.70 x 1.00 inches
Free Yourself,Carolyn Hobbs,9.78E+12,Wisdom Publications,Unknown,,
The Zookeeper's Wife,Diane Ackerman,9.78E+12,W. W. Norton & Company,Unknown,368 pages,5.99 x 8.65 x 1.17 inches
Mastering Modern World History,Norman Lowe,9.78E+12,Palgrave Macmillan,Unknown,704 pages,6.14 x 9.21 x 0.00 inches
Acts,Darrell L. Bock,9.78E+12,Baker Academic,Unknown,848 pages,6.37 x 9.16 x 2.10 inches
Lacrosse,Bob Scott; Robert Scott,9.78E+12,Johns Hopkins University Press,Unknown,232 pages,6.92 x 9.96 x 0.75 inches
Claimed by a Scottish Lord,Melody Thomas,9.78E+12,Avon Books,Unknown,371 pages,4.00 x 7.00 x 1.30 inches
Metamorphosis and Other Stories (Barnes & Noble Classics Series),Franz Kafka; Jason Baker; Donna Freed,9.78E+12,Barnes & Noble Classics,Unknown,224 pages,5.28 x 8.12 x 0.62 inches
Amazing Love,Corrie Ten Boom; Nadia May,9.78E+12,Christianaudio,Unknown,,6.50 x 5.40 x 0.70 inches
A Charitable Body,Robert Barnard,9.78E+12,Scribner Book Company,Unknown,256 pages,
The Bloomsday Dead,Adrian McKinty,9.78E+12,Scribner Book Company,Unknown,304 pages,
The Secret Garden (Barnes & Noble Leatherbound Children's Classics),Frances Hodgson; Robinson; Charles Burnett,9.78E+12,Barnes & Noble Inc,Unknown,,
Death of the Negro: An African American Experience in the Development of Black Popular Cuture (Death of the Negro,Delridge La Veon Hunter Ph. D,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
15 Full Days of Faith for  prosperity is .....,A B,9.78E+12,Amelia L Butler,Unknown,,
Incident at Muc Wa,Daniel Ford,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Jaguar,Paul Stoller,9.78E+12,University of Chicago Press,Unknown,213 pages,5.79 x 8.85 x 0.85 inches
Learnability and Cognition,Steven Pinker,9.78E+12,MIT Press Ltd,Unknown,528 pages,5.98 x 9.02 x 0.00 inches
Black Magic Bayou (Genie McQueen) (Volume 2),Sierra Dean,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Mystic Horse,Paul Goble,9.78E+12,HarperCollins Publishers,Unknown,40 pages,8.74 x 11.40 x 0.35 inches
The Republic,Plato; Benjamin Jowett; Elizabeth Watson Scharffenberger,9.78E+12,Barnes & Noble,Unknown,442 pages,5.30 x 7.90 x 1.30 inches
Butte Irish,David M. Emmons,9.78E+12,University of Illinois Press,Unknown,464 pages,6.02 x 8.96 x 1.05 inches
A Companion to World History (Wiley Blackwell Companions to World History) b,ompanion to World History (Wiley Blackwell Companions to World History) by,9.78E+12,Wiley-Blackwell,Unknown,,
School Reading by Grades Sixth Year,James Baldwin,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
David Copperfield,Charles Dickens; Radhika Jones,9.78E+12,Barnes & Noble Classics,Unknown,768 pages,5.05 x 8.04 x 1.68 inches
Electromagnetisme. Teoria clssica (Catalan Edition),Samuel Mrquez Hernndez,9.78E+12,Lulu.com,Unknown,,
History and Stories of the Best Bars of New York,NA,9.78E+12,Turner Publishing Company,Unknown,,
Classic Biblical Baby Names,Judith Tropea,9.78E+12,Bantam,Unknown,336 pages,5.26 x 8.24 x 0.73 inches
The Unaccompanied,Simon Armitage,9.78E+12,Knopf,Unknown,,
Black Jews in Africa and the Americas,Tudor Parfitt,9.78E+12,Harvard University Press,Unknown,220 pages,
Paradise Lost (Barnes & Noble Classics Series),John Milton; David Hawkes,9.78E+12,Barnes & Noble Classics,Unknown,496 pages,5.36 x 8.00 x 1.35 inches
Dream a Little Dream,Susan Elizabeth Phillips,9.78E+12,Avon Books,Unknown,400 pages,4.19 x 6.88 x 1.09 inches
