title,author,isbn,publisher,edition,pages,dimensions
History Of American Journalism,James Melvin Lee,9.78E+12,Martin Press CA,,500,5.50(w) x 8.50(h) x 1.11(d)
The Backyard Goat: An Introductory Guide to Keeping and Enjoying Pet Goats from Feeding and Housing to Making Your Own Cheese,Sue Weaver,9.78E+12,Storey Books,,224,6.90(w) x 8.90(h) x 0.70(d)
August Wilson's Two Trains Running,August Wilson,9.78E+12,Samuel French Incorporated,,100,4.80(w) x 7.80(h) x 0.30(d)
Let it be Me,Kate Noble,9.78E+12,Penguin Publishing Group,,320,4.10(w) x 6.70(h) x 1.10(d)
The Assistant,Kate Black,9.78E+12,CreateSpace Publishing,,250,6.00(w) x 9.00(h) x 0.53(d)
Handbook on Book Repairing,P. H. Norton,9.78E+12,Brunton Press,,60,5.50(w) x 8.50(h) x 0.14(d)
The Geographical Natural and Civil History of Chili,Giovanni Ignazio Molina,9.78E+12,Cambridge University Press,,400,5.51(w) x 8.50(h) x 0.91(d)
Simpsons Comics Belly Buster,Matt Groening,9.78E+12,HarperCollins Publishers,Reprint,176,6.65(w) x 10.27(h) x 0.37(d)
Forever Friends (Hope Springs Series #3),Lynne Hinton,9.78E+12,HarperCollins Publishers,Reprint,240,5.30(w) x 7.90(h) x 0.60(d)
Bitter Fruit: African American Women in World War II,Maureen Honey,9.78E+12,University of Missouri Press,,424,6.13(w) x 9.25(h) x 1.20(d)
Secrets Revealed,Donna Woods,9.78E+12,CreateSpace Publishing,,296,6.00(w) x 1.25(h) x 9.00(d)
Little Black Book Of Geriatrics / Edition 4,Karen Gershman,9.78E+12,Jones & Bartlett Learning,4E,458,5.00(w) x 6.90(h) x 1.10(d)
Moments of Doubt: And Other Mountaineering Writings of David Roberts,David Roberts,9.78E+12,Mountaineers Books The,,256,5.50(w) x 8.50(h) x (d)
Ebola: The Natural and Human History of a Deadly Virus,David Quammen,9.78E+12,Norton W. W. & Company Inc.,,128,5.40(w) x 8.20(h) x 0.40(d)
American Judaism: A History / Edition 1,Jonathan D. Sarna,9.78E+12,Yale University Press,,512,6.12(w) x 9.25(h) x (d)
10 Answers for Atheists: How to Have an Intelligent Discussion About the Existence of God,Alex McFarland,9.78E+12,Baker Publishing Group,,240,5.50(w) x 8.50(h) x 0.70(d)
An Amish Family Christmas: A Charmed Amish Life Christmas Novel,Shelley Shepard Gray,9.78E+12,HarperCollins Publishers,Reprint,368,6.50(w) x 4.10(h) x 1.10(d)
Silvia DuBois; A Biografy of the Slav Who Whipt Her Mistres and Gand Her Fredom,C. W. Larison,9.78E+12,Oxford University Press USA,,288,4.88(w) x 6.81(h) x 0.99(d)
Baby Got Lost,Laurinda Stanton,9.78E+12,Xlibris Corporation,,26,8.50(w) x 11.00(h) x 0.07(d)
Now or Never: Your Epic Life in 5 Steps,Alexi Panos;  Preston Smiles,9.78E+12,Gallery Books,,240,5.50(w) x 8.40(h) x 0.50(d)
Black Thursday,Linda Joffe Hull,9.78E+12,Llewellyn Worldwide LTD.,,336,5.10(w) x 7.90(h) x 1.00(d)
Sleep My Darlings: The true story of a mother who killed her children in cold blood,Diane Fanning,9.78E+12,St. Martin's Press,First Edition,202,4.10(w) x 6.70(h) x 0.70(d)
The Finest Collection Of E-Mail Jokes And Stories,Doug Sand,9.78E+12,Xlibris Corporation,,260,6.00(w) x 9.00(h) x 0.59(d)
Love by Night: A Black Vampire Story,Stina,9.78E+12,Kensington,,384,4.10(w) x 6.70(h) x 1.00(d)
Logics of Failed Revolt: French Theory after May '68,Peter Starr,9.78E+12,Stanford University Press,1,284,6.15(w) x 9.23(h) x 0.75(d)
More Top Secret Recipes: More Fabulous Kitchen Clones of America's Favorite Brand-Name Foods,Todd Wilbur,9.78E+12,Penguin Publishing Group,,,5.40(w) x 8.00(h) x 0.35(d)
American Medical Association Family Medical Guide / Edition 4,American Medical Association,9.78E+12,Turner Publishing Company,Fourth Edition,1200,8.00(w) x 9.40(h) x 2.80(d)
A Diabolical Onslaught,Riott Night,9.78E+12,CreateSpace Publishing,,270,5.50(w) x 8.50(h) x 0.61(d)
Finding a Forever Home: True Animal Rescue Stories,Mr Mark Feldstein,9.78E+12,CreateSpace Publishing,,278,6.00(w) x 9.00(h) x 0.58(d)
Black Pioneers in Communication Research / Edition 1,Ronald L. Jackson;  Sonja M. Brown Givens,9.78E+12,SAGE Publications,New Edition,280,6.00(w) x 9.00(h) x (d)
The picture of Dorian Gray 1890,Oscar Wilde,9.78E+12,CreateSpace Publishing,,272,6.00(w) x 9.00(h) x 0.61(d)
Main Street: Original and Unabridged,Sinclair Lewis,9.78E+12,CreateSpace Publishing,Original,404,6.00(w) x 9.00(h) x 0.90(d)
America's Boy,James Hamilton-Paterson,9.78E+12,Faber and Faber,,502,5.06(w) x 7.81(h) x 1.01(d)
Backpack 2 Content Reader,PEARSON,9.78E+12,Pearson Education ESL,,,7.90(w) x 10.50(h) x 0.10(d)
Philadelphia in Picture Postcards,Philip III Jamison,9.78E+12,Rowman & Littlefield Publishers Inc.,,128,8.50(w) x 10.96(h) x 0.32(d)
Hardcase,Dan Simmons,9.78E+12,Little Brown and Company,Reprint,272,5.50(w) x 8.25(h) x 0.75(d)
The Communist Manifesto and Other Writings (Barnes & Noble Classics Series),Karl Marx;  Friedrich Engels,9.78E+12,Barnes & Noble,,224,5.19(w) x 8.00(h) x 0.56(d)
On American Soil: How Justice Became a Casualty of World War II,Jack Hamann,9.78E+12,University of Washington Press,,384,8.92(w) x 10.92(h) x 0.91(d)
Studyguide for Psychology by Wade Carole ISBN 9780205873425,Cram101 Textbook Reviews,9.78E+12,Content Technologies Inc.,,270,8.25(w) x 11.00(h) x 0.57(d)
Baltimore Noir,Laura Lippman,9.78E+12,Akashic Books,,294,5.20(w) x 8.30(h) x 0.90(d)
Before I Wake,Robert J. Wiersema,9.78E+12,St. Martin's Press,First Edition,336,5.40(w) x 8.20(h) x 1.00(d)
The Fight for Maglev: Making America the World Leader in 21st Century Transport by James Jordan  James Powell  Gordon Dan,,9.78E+12,CreateSpace Publishing,,402,6.00(w) x 9.00(h) x 0.89(d)
The Witchcraft Reader / Edition 2,Darren Oldridge,9.78E+12,Taylor & Francis,REV,424,6.75(w) x 9.75(h) x 1.00(d)
A Guide to the Dead Sea Scrolls and Related Literature,S.J.;  Joseph Fitzmyer Joseph A.,9.78E+12,Eerdmans William B. Publishing Company,Revised and Expanded,248,6.00(w) x 8.90(h) x 0.90(d)
I Hate NY: True stories of life in New York City,Greg Vojtanek,9.78E+12,Lulu.com,,152,6.00(w) x 9.00(h) x 0.35(d)
The Lord Next Door,Gayle Callen,9.78E+12,HarperCollins Publishers,Reissue,384,4.18(w) x 6.75(h) x 0.96(d)
Life in the Far West: A True Account of Travels across America's Wilderness,George Frederick Ruxton,9.78E+12,Skyhorse Publishing,Reissue,328,8.10(w) x 5.50(h) x 1.00(d)
1215 and All That: Magna Carta and King John,Ed West,9.78E+12,Skyhorse Publishing,,192,5.60(w) x 8.30(h) x 1.00(d)
Thursdays with Oma,Kirsten Gordon;  Benjamin Elio,9.78E+12,CreateSpace Publishing,,26,8.50(w) x 8.50(h) x 0.07(d)
Magna Carta / Edition 3,J. C. Holt,9.78E+12,Cambridge University Press,Revised,481,5.98(w) x 8.98(h) x 0.87(d)
Color this Book: New York City,Abbi Jacobson; Other Format,9.78E+12,Chronicle Books LLC,,32,8.00(w) x 10.00(h) x 0.25(d)
Between Night and Day,Nicola Åslund,9.78E+12,CreateSpace Publishing,,354,6.00(w) x 1.25(h) x 9.00(d)
The Blessings,Elise Juska,9.78E+12,Grand Central Publishing,,288,5.25(w) x 8.00(h) x 0.75(d)
"????·???""?: Alexander Hamilton",Washington Yu Ying PCS,9.78E+12,Level Chinese,,20,6.00(w) x 1.25(h) x 9.00(d)
Lark's Lament (Fool's Guild Series #6),Alan Gordon,9.78E+12,St. Martin's Press,First Edition,288,8.24(w) x 5.40(h) x 0.78(d)
Bouncer,Kipling Peterson,9.78E+12,iUniverse Incorporated,,308,6.00(w) x 9.00(h) x 0.69(d)
Bugs in My Hair!,David Shannon,9.78E+12,Scholastic Inc.,,32,8.30(w) x 11.10(h) x 0.50(d)
John Milton,Harold Bloom;  Carol Blessing,9.78E+12,Facts on File Incorporated,,320,32.00(w) x 9.25(h) x 32.00(d)
Advances in Tracer Methodology: Volume 1,Seymour Rothchild,9.78E+12,Springer US,1963,332,5.98(w) x 9.02(h) x 0.03(d)
More Martian Tales (Barnes & Noble Library of Essential Reading),Edgar Rice Burroughs,9.78E+12,Barnes & Noble,,448,5.50(w) x 8.25(h) x (d)
A Dying Breed Volume 1: From the Bright Lights Series,Darian Wigfall,9.78E+12,AuthorHouse,,68,6.00(w) x 9.00(h) x 0.16(d)
The Angel Experiment (Maximum Ride Series #1),James Patterson,9.78E+12,Little Brown Books for Young Readers,,464,8.02(w) x 11.28(h) x 1.25(d)
The Pilgrim's Progress (Part 1) Abridged & Illustrated: Greenfield Reader Level 3,John Bunyan,9.78E+12,CreateSpace Publishing,,78,8.50(w) x 11.00(h) x 0.16(d)
George H. W. Bush (American Presidents Series),Timothy Naftali,9.78E+12,Holt Henry & Company Inc.,,224,5.50(w) x 8.50(h) x 0.62(d)
Mavericks of the Sky: The First Daring Pilots of the U.S. Air Mail,Barry Rosenberg;  Catherine Macaulay,9.78E+12,HarperCollins Publishers,Reprint,368,5.31(w) x 8.00(h) x 0.82(d)
Forward: A Memoir by Ab,Wambach,9.78E+12,HarperCollins Publishers,Reprint,240,5.20(w) x 7.80(h) x 0.70(d)
Black Butler Volume 12,Yana Toboso,9.78E+12,Yen Press,,176,4.90(w) x 7.40(h) x 0.60(d)
Life of the Rev. David Brainerd: Missionary to the North American Indians,Josiah Pratt;  Jonathan Edwards,9.78E+12,Cambridge University Press,Reissue,416,5.50(w) x 8.50(h) x 1.00(d)
Straight Outta Here Class of 2018 - Black Cover Composition Notebook: (7 x 9) Notebook 100 Pages Flexible Matte Cover,Notebook;  Writing Pad,9.78E+12,CreateSpace Publishing,,102,6.00(w) x 1.25(h) x 9.00(d)
Antarctica,Rebecca Hirsch,9.78E+12,Scholastic Library Publishing,,32,3.80(w) x 5.70(h) x 0.60(d)
McSweeney's Issue 34,Dave Eggers,9.78E+12,McSweeney's Publishing,,200,6.50(w) x 8.92(h) x 1.02(d)
The One Device: The Secret History of the iPhone,Brian Merchant,9.78E+12,Little Brown and Company,,416,6.30(w) x 9.30(h) x 1.40(d)
Rumors,Neil Simon,9.78E+12,Samuel French Incorporated,New Edition,128,5.00(w) x 8.00(h) x 0.27(d)
Exile Ostracism and Democracy: The Politics of Expulsion in Ancient Greece,Sara Forsdyke,9.78E+12,Princeton University Press,New Edition,360,6.00(w) x 9.25(h) x 1.20(d)
A Palette of Particles,Jeremy Bernstein,9.78E+12,Harvard,,224,4.60(w) x 7.20(h) x 1.00(d)
A Companion to World History,Douglas Northrop,9.78E+12,Wiley,,638,6.60(w) x 9.60(h) x 1.20(d)
House of Mirth (Barnes & Noble Classics Series),Edith Wharton,9.78E+12,Barnes & Noble,,400,7.96(w) x 5.32(h) x 1.05(d)
Animals of the World Coloring Book,Dorling Kindersley Publishing Staff,9.78E+12,DK,,96,9.60(w) x 9.10(h) x 0.40(d)
The Abduction,James Grippando,9.78E+12,HarperCollins Publishers,Reprint,544,4.20(w) x 7.50(h) x 1.50(d)
Crashing Through: A True Story of Risk Adventure and the Man Who Dared to See,Robert Kurson,9.78E+12,Random House Publishing Group,Reprint,320,7.82(w) x 5.08(h) x 0.70(d)
Code to Zero,Ken Follett,9.78E+12,Penguin Publishing Group,Reprint,384,6.00(w) x 9.00(h) x 0.80(d)
The Pilgrim's Progress in Plain and Simple English - Part One and Two: A Modern Translation and the Original Version,John Bunyan,9.78E+12,CreateSpace Publishing,,534,6.00(w) x 8.90(h) x 1.10(d)
The Strange Journey of the Confederate Constitution: And Other Stories from Georgia's Historical Past,William Rawlings,9.78E+12,Mercer University Press,,320,5.90(w) x 9.00(h) x 1.50(d)
Goosefoot,Patrick McGinley,9.78E+12,Bloomsbury Academic,,284,6.10(w) x 9.10(h) x 0.70(d)
In the Pirate's Den: My Life As a Secret Agent for Castro,Jorge Masetti,9.78E+12,Encounter Books,,160,6.70(w) x 8.70(h) x (d)
Blackbird: A History of the Untouchable Spy Plane,James Hamilton-Paterson,9.78E+12,Pegasus Books,,232,5.80(w) x 8.30(h) x 0.70(d)
Belly Up to the Bar: Dining with New York City's Celebrity Chefs Without Reservation(s),J.S. Mitchell;  J. S. Mitchell,9.78E+12,Turner Publishing Company,,223,4.40(w) x 8.30(h) x 0.90(d)
The Aeneid (Barnes & Noble Classics Series),Virgil,9.78E+12,Barnes & Noble,New Edition,464,5.10(w) x 7.90(h) x 1.40(d)
Holiday Wishes for You,Marianne Richmond,9.78E+12,Sourcebooks,,64,6.20(w) x 6.10(h) x 0.50(d)
A Place Called Winter,Patrick Gale,9.78E+12,Grand Central Publishing,,384,5.25(w) x 8.12(h) x 1.00(d)
Invasion!: Operation Sea Lion 1940,Martin Marix Evans;  Angus Mcgeoch,9.78E+12,Taylor & Francis,,292,6.25(w) x 9.25(h) x 0.82(d)
Inspiration: Bacchus and the Cultural History of a Creation Myth,John F. Moffitt,9.79E+12,Brill Academic Publishers Inc.,,416,6.54(w) x 9.76(h) x 1.23(d)
Dorothea Lange: A Life Beyond Limits,Linda Gordon,9.78E+12,Norton W. W. & Company Inc.,,560,6.10(w) x 9.10(h) x 1.30(d)
Points Of The Horse,M. Horace Hayes;  J. H. Oswald Brown,9.78E+12,Gorgias Press,,516,6.00(w) x 9.00(h) x 1.15(d)
Goat Song: A Seasonal Life A Short History of Herding and the Art of Making Cheese,Brad Kessler,9.78E+12,Scribner,,272,5.76(w) x 8.60(h) x 0.68(d)
Economics of the Undead: Zombies Vampires and the Dismal Science,Glen Whitman,9.78E+12,Rowman & Littlefield Publishers Inc.,Reprint,304,6.00(w) x 8.80(h) x 1.10(d)
In Another Life,Julie Christine Johnson,9.78E+12,Sourcebooks,,368,5.50(w) x 8.20(h) x 1.10(d)
Alexander Hamilton: Special Edition,Charles A. Conant,9.78E+12,CreateSpace Publishing,,46,8.50(w) x 11.00(h) x 0.10(d)
Paying for College Without Going Broke 2015 Edition,Princeton Review;  Kalman Chany,9.78E+12,Random House Children's Books,,352,7.70(w) x 10.20(h) x 0.90(d)
Amazing Disgrace,James Hamilton-Paterson,9.78E+12,Europa Editions Incorporated,,320,8.26(w) x 5.20(h) x 1.04(d)
Soul Eater Volume 7,Atsushi Ohkubo,9.78E+12,Yen Press,,208,5.00(w) x 7.50(h) x 0.70(d)
Japan in World History,George Sansom,9.78E+12,Taylor & Francis,Reprint,112,6.00(w) x 1.25(h) x 9.00(d)
The Ice Limit,Douglas Preston;  Lincoln Child,9.78E+12,Grand Central Publishing,Reissue,512,4.25(w) x 6.87(h) x 1.00(d)
Bebe Day by Day: 100 Keys to French Parenting,Pamela Druckerman,9.78E+12,Penguin Publishing Group,,160,5.40(w) x 7.14(h) x 0.66(d)
A Curious Madness: An American Combat Psychiatrist a Japanese War Crimes Suspect and an Unsolved Mystery from World War II,Eric Jaffe,9.78E+12,Scribner,Reprint,328,6.00(w) x 9.00(h) x 1.10(d)
My Mommy: is in America and she met Buffalo Bill,Jean Regnaud;  ?mile Bravo,9.79E+12,Ponent Mon S.L.,,120,6.60(w) x 9.50(h) x 0.60(d)
Abe Lincoln's Yarns and Stories: A Complete Collection of the Funny and Witty Anecdotes That Made Lincoln Famous As America's Greatest Story Teller,Alexander Kelly McClure,9.78E+12,Scholar Select,,472,6.14(w) x 9.21(h) x 1.00(d)
James K. Polk (American Presidents Series),John Seigenthaler,9.78E+12,Holt Henry & Company Inc.,First Edition,208,5.50(w) x 8.50(h) x 0.62(d)
Bicycle: The Definitive Visual History,Dorling Kindersley Publishing Staff,9.78E+12,DK,,256,10.00(w) x 12.00(h) x 1.10(d)
Responsibility and Freedom: The Ethical Realm of RRI / Edition 1,Robert Gianni,9.78E+12,Wiley,,220,6.40(w) x 9.30(h) x 0.90(d)
Gil Hodges: The Brooklyn Bums the Miracle Mets and the Extraordinary Life of a Baseball Legend,Tom Clavin;  Danny Peary,9.78E+12,Penguin Publishing Group,,400,6.14(w) x 8.84(h) x 0.92(d)
Paying for College Without Going Broke 2018 Edition: How to Pay Less for College,Princeton Review;  Kalman Chany,9.78E+12,Random House Children's Books,,352,7.70(w) x 10.20(h) x 0.90(d)
Killing Bin Laden - Operation Neptune Spear 2011,Peter Panzeri;  Johnny Shumate,9.78E+12,Bloomsbury USA,,80,7.20(w) x 9.70(h) x 0.40(d)
Germany,John Perritano,9.78E+12,Mason Crest,,64,7.50(w) x 9.42(h) x 0.09(d)
Gibbons and Stadanko: A Hitchhiking Trip Across America and a Few Lessons on Life,Joe Grady,9.78E+12,CreateSpace Publishing,,216,5.00(w) x 8.00(h) x 0.49(d)
Divided Lives: The Untold Stories of Jewish-Christian Women in Nazi Germany,C. Crane,9.78E+12,Palgrave Macmillan US,2000,372,5.51(w) x 8.50(h) x 0.03(d)
Going Where I'm Coming From: Memoirs of American Youth,Anne Mazer,9.78E+12,Persea Books,,166,5.40(w) x 8.30(h) x 0.60(d)
Kid Squad Saves the World,ABDO Publishing Company,9.78E+12,ABDO Publishing Company,,112,6.00(w) x 8.20(h) x 2.90(d)
Beyond Rosie the Riveter: Women of World War II in American Popular Graphic Art,Donna B. Knaff,9.78E+12,University Press of Kansas,Reprint,224,9.20(w) x 6.10(h) x 0.50(d)
Black Letter Outline on Wills Trusts and Future Interests,Lawrence H. Averill Jr.,9.78E+12,West Academic,Student,784,8.50(w) x 10.90(h) x 1.20(d)
Given Sugar Given Salt / Edition 1,Jane Hirshfield,2.90E+12,HarperCollins Publishers,Reprint,96,6.00(w) x 1.25(h) x 9.00(d)
99 Days,Katie Cotugno,9.78E+12,HarperCollins Publishers,,400,5.31(w) x 8.00(h) x (d)
Bourbon Empire: The Past and Future of America's Whiskey,Reid Mitenbuler,9.78E+12,Penguin Publishing Group,,336,5.40(w) x 8.40(h) x 0.80(d)
Dakota Guns,J. R. Roberts,9.78E+12,Speaking Volumes LLC,,196,5.00(w) x 7.99(h) x 0.45(d)
Seville Ci'Ardoba and Granada: A Cultural History,Elizabeth Nash,9.78E+12,Oxford University Press USA,,272,8.30(w) x 5.80(h) x 0.90(d)
Cracking the AP European History Exam 2013 Edition,Princeton Review,9.78E+12,Random House Children's Books,,464,8.46(w) x 10.64(h) x 1.12(d)
Mental Disabilities And The Americans With Disabilities Act,John F. Fielder,9.78E+12,ABC-CLIO Incorporated,,216,5.50(w) x 8.50(h) x 0.63(d)
Black Butler Volume 5,Yana Toboso,9.78E+12,Yen Press,,176,5.00(w) x 7.40(h) x 0.60(d)
A Cultural History of the Atlantic World 1250-1820,John K. Thornton,9.78E+12,Cambridge University Press,,560,6.14(w) x 9.21(h) x 1.34(d)
Fading Ads of New York City,Frank Jump,9.78E+12,History Press The,,220,7.70(w) x 9.10(h) x 0.80(d)
Simpsons Comics Unchained,Matt Groening,9.78E+12,HarperCollins Publishers,First Edition,176,9.92(w) x 6.58(h) x 0.38(d)
The American Heritage Roget's Thesaurus,American Heritage Publishing Staff,9.78E+12,Houghton Mifflin Harcourt,,928,7.00(w) x 9.60(h) x 1.40(d)
The Best American Nonrequired Reading 2002,Dave Eggers,9.78E+12,Houghton Mifflin Harcourt,,304,5.50(w) x 8.25(h) x 0.75(d)
The Starbucks Experience: 5 Principles for Turning Ordinary into Extraordinary,Joseph Michelli,9.78E+12,McGraw-Hill Professional Publishing,,224,5.70(w) x 8.40(h) x 0.90(d)
The Pilgrim's Progress Part One,John Bunyan,9.78E+12,CreateSpace Publishing,,102,6.00(w) x 9.00(h) x 0.21(d)
Last Stand at Khe Sanh: The U.S. Marines' Finest Hour in Vietnam,Gregg Jones,9.78E+12,Da Capo Press,First Trade Paper Edition,400,6.00(w) x 8.90(h) x 1.20(d)
Life in the far West (1851) by George Frederick Ruxton (A western clasic),George Frederick Ruxton,9.78E+12,CreateSpace Publishing,,124,8.50(w) x 11.00(h) x 0.26(d)
Roman Gardens: A Cultural History,Katharine T. von Stackelberg,9.78E+12,Taylor & Francis,,192,6.50(w) x 9.40(h) x 0.70(d)
In the Country We Love: My Family Divided,Diane Guerrero,9.78E+12,St. Martin's Press,,272,5.40(w) x 8.20(h) x 0.80(d)
Al-Kashif-Juzuu Ya Kumi,Sheikh Muhammad Jawad Mughniyya,9.78E+12,CreateSpace Publishing,,114,8.50(w) x 11.00(h) x 0.24(d)
Jews and Money: The Story of a Stereotype,Abraham H. Foxman,9.78E+12,St. Martin's Press,Reprint,256,5.70(w) x 8.80(h) x 0.70(d)
Barbie: The Icon the Image the Ideal: An Analytical Interpretation of the Barbie Doll in Popular Culture,Kristin Noelle Weissman,9.78E+12,Universal-Publishers.com,,128,6.00(w) x 9.00(h) x 0.38(d)
Letters to a Young Farmer: On Food Farming and Our Future,Stone Barns Center for Food and Agriculture,9.78E+12,Princeton Architectural Press,,176,5.90(w) x 8.50(h) x 0.60(d)
Life Experiences: Volume 1,Andrea Whiteley,9.78E+12,AuthorHouse,,56,6.00(w) x 9.00(h) x 0.13(d)
Gulag Archipelago 1918-1956: An Experiment in Literary Investigation,Aleksandr Solzhenitsyn,9.78E+12,HarperCollins Publishers,,720,
Flanders: A Cultural History,Andre de Vries,9.78E+12,Oxford University Press USA,,256,8.30(w) x 5.70(h) x 1.20(d)
Flying,Carrie Jones,9.78E+12,Tom Doherty Associates,Reprint,256,5.00(w) x 7.90(h) x 0.80(d)
The Innovator's Cookbook: Essentials for Inventing What Is Next,Steven Johnson,9.78E+12,Penguin Publishing Group,,272,5.40(w) x 8.20(h) x 0.90(d)
Imagining the Elephant: A Biography of Allan Macleod Cormack,Christopher Leonard Vaughan,9.78E+12,Imperial College Press,,324,6.20(w) x 9.10(h) x 1.10(d)
Dr. David Robert's Practical Home Veterinarian,David Roberts,9.78E+12,CreateSpace Publishing,,172,6.00(w) x 9.00(h) x 0.37(d)
La guia de Buena Salud sobre la artritis y tu vida,Jane L.;  PhD Delgado PhD,9.78E+12,HarperCollins Publishers,Spanish-language Edition,160,5.40(w) x 8.20(h) x 0.50(d)
One Day When I Was Lost,James Baldwin,9.78E+12,Knopf Doubleday Publishing Group,Reprint,288,5.20(w) x 8.00(h) x 0.64(d)
Interferometry,W. H. Steel,9.78E+12,Cambridge University Press,Revised,328,6.00(w) x 9.00(h) x 0.90(d)
Dear World: A Syrian Girl's Story of War and Plea for Peace,Bana Alabed,9.78E+12,Simon & Schuster,,224,5.00(w) x 7.20(h) x 1.00(d)
The Continuum Companion to Hume,Alan Bailey,9.78E+12,Bloomsbury Academic,,472,6.30(w) x 9.10(h) x 1.60(d)
Crucible of Struggle: A History of Mexican Americans from Colonial Times to the Present Era / Edition 2,Zaragosa Vargas,9.78E+12,Oxford University Press,Reprint,464,6.10(w) x 9.10(h) x 0.90(d)
Killing Fields,R. a. Butler,9.78E+12,Xlibris Corporation,,126,6.00(w) x 9.00(h) x 0.30(d)
212 (Ellie Hatcher Series #3),Alafair Burke,9.78E+12,HarperCollins Publishers,,368,5.30(w) x 7.90(h) x 1.00(d)
Cracking the AP Physics C Exam 2013 Edition,Princeton Review,9.78E+12,Random House Children's Books,,576,8.42(w) x 10.68(h) x 1.40(d)
Notes of a Native Son,James Baldwin,9.78E+12,Beacon Press,,208,5.50(w) x 8.40(h) x 0.60(d)
"Queen of Thieves: The True Story of ""Marm"" Mandelbaum and Her Gangs of New York",J. North Conway,9.78E+12,Skyhorse Publishing,,272,6.10(w) x 9.00(h) x 1.00(d)
Harry Callahan: The Street,Grant Arnold,9.78E+12,Black Dog Publishing Limited London,,160,10.10(w) x 10.80(h) x 0.70(d)
Fishing Grounds: Defining a New Era for American Fisheries Management / Edition 1,The H. John Heinz III Center for Science;  Economics;  and the Environment;  Susan Hanna;  Bonnie McCay;  Gary Matlock,9.78E+12,Island Press,1,256,6.00(w) x 9.00(h) x 0.70(d)
A Wish and a Prayer (Blessings Series #4),Beverly Jenkins,9.78E+12,HarperCollins Publishers,,320,5.31(w) x 8.00(h) x 0.72(d)
Kiss River,Diane Chamberlain,9.78E+12,MIRA,Original,432,5.30(w) x 8.20(h) x 1.30(d)
Essential AP World History (flashcards),Princeton Review; Other Format,9.78E+12,Random House Children's Books,,450,6.94(w) x 11.34(h) x 2.73(d)
From Splendor to Revolution: The Romanov Women 1847--1928,Julia P. Gelardi,9.78E+12,St. Martin's Press,,528,5.54(w) x 8.06(h) x 1.38(d)
Studyguide for Ethics for Life by Boss ISBN 9780072831337,Cram101 Textbook Reviews;  Boss,9.78E+12,Content Technologies Inc.,,168,8.25(w) x 11.00(h) x 0.36(d)
Mission: the True Story of a Mormon Missionary,Josh Maready,9.78E+12,CreateSpace Publishing,,206,6.00(w) x 9.00(h) x 0.44(d)
Chemistry: Decade by Decade,Arthur Greenberg,9.78E+12,Facts on File Incorporated,,496,7.60(w) x 9.50(h) x 1.10(d)
It's Our Turn to Eat: The Story of a Kenyan Whistle-Blower,Michela Wrong,9.78E+12,HarperCollins Publishers,,354,5.30(w) x 7.90(h) x 1.00(d)
Essential Dictionary of Orchestration: Pocket Size Book / Edition 2,Dave Black;  Tom Gerou,9.78E+12,Alfred Music,New Edition,352,4.28(w) x 5.58(h) x 0.56(d)
A Christmas Carol and Other Christmas Writings,Charles Dickens,9.78E+12,Tribeca Books,,182,5.40(w) x 8.50(h) x 0.60(d)
"Althea Re-Balances her life: ""the emotional challenges one survivor faces after chemo for Ovarian Cancer""",Dr. Annette Bennington McElhiney,9.78E+12,CreateSpace Publishing,,32,6.00(w) x 9.00(h) x 0.08(d)
Chief Joseph: A Biography,Vanessa Ann Gunther,9.78E+12,ABC-CLIO Incorporated,,178,6.30(w) x 9.30(h) x 0.80(d)
I Was Born This Way How About You?,Doug Green,9.78E+12,AuthorHouse,,180,6.00(w) x 9.00(h) x 0.41(d)
Cold Heaven,Brian Moore,9.78E+12,Penguin Publishing Group,Reprint,272,5.40(w) x 8.00(h) x 0.70(d)
British Castles Colouring Book,The History Press,9.78E+12,History Press Limited The,,96,6.50(w) x 9.80(h) x 0.40(d)
Studyguide for Cdev by Rathus Spencer A. ISBN 9780495905530,Cram101 Textbook Reviews,9.78E+12,Content Technologies Inc.,,148,8.25(w) x 11.00(h) x 0.32(d)
Agnes Grey - The Original Classic Edition,Anne Bronte,9.78E+12,Emereo Pty Ltd,,146,6.00(w) x 9.00(h) x 0.34(d)
Life Journey,Serge P. Petroff,9.78E+12,iUniverse Incorporated,,288,5.98(w) x 9.02(h) x 0.65(d)
The Investigators (Badge of Honor Series #7),W. E. B. Griffin,9.78E+12,Penguin Publishing Group,Reissue,592,4.25(w) x 6.75(h) x 1.31(d)
American Jezebel: The Uncommon Life of Anne Hutchinson the Woman Who Defied the Puritans,Eve LaPlante,9.78E+12,HarperCollins Publishers,Reprint,336,5.31(w) x 8.00(h) x 0.76(d)
The Secret History of Kindness: Learning from How Dogs Learn,Melissa Holbrook Pierson,9.78E+12,Norton W. W. & Company Inc.,New Edition,320,8.30(w) x 5.60(h) x 1.20(d)
Captivated,Amanda Steel,9.78E+12,CreateSpace Publishing,,96,6.00(w) x 9.00(h) x 0.17(d)
My Wicked Wicked Ways,Sandra Cisneros,9.78E+12,Knopf Doubleday Publishing Group,Reprint,128,5.10(w) x 7.90(h) x 0.50(d)
The Nature and Tendency of Modern Spiritualism,Mr. J. H. Waggoner,9.78E+12,CreateSpace Publishing,,140,6.00(w) x 9.00(h) x 0.30(d)
Dias festivos,ABDO Publishing Company,9.78E+12,ABDO Publishing Company,,24,9.40(w) x 11.40(h) x 1.70(d)
