title,author,isbn,publisher,edition,pages,dimensions
Amy and the Fox,John Lake,9.78099E+12,Armley Press,,210,5.50(w) x 8.50(h) x 0.48(d)
Masterminds (Masterminds Series #1),Gordon Korman,9.78006E+12,HarperCollins Publishers,Reprint,352,5.12(w) x 7.62(h) x 0.70(d)
Lectionary for Mass: Classic Edition: Sundays,Various,9.78081E+12,Liturgical Press The,,1260,8.50(w) x 11.00(h) x (d)
MYTHOLOGY LEGENDS FROM AROUND THE GLOBE,Andreas Sofroniou,9.78133E+12,Lulu.com,,654,5.83(w) x 8.27(h) x 1.31(d)
Madame Bovary,Gustave Flaubert,9.78148E+12,CreateSpace Publishing,,324,5.00(w) x 8.00(h) x 0.66(d)
Barbie: Look and Find,Phoenix International Publications,9.7815E+12,Phoenix International Publications Inc.,,24,9.80(w) x 11.90(h) x 0.40(d)
Peter Pan: Centennial Edition,J. M. Barrie,9.78045E+12,Penguin Publishing Group,Reissue,208,4.19(w) x 6.88(h) x 0.54(d)
The DollHouse Project,D. S. Craighead,9.78152E+12,CreateSpace Publishing,,116,5.00(w) x 8.00(h) x 0.28(d)
Candy Cane Murder,Joanne Fluke;  Laura Levine;  Leslie Meier,9.78076E+12,Kensington,,432,6.72(w) x 4.20(h) x 1.17(d)
Grace Abounding to the Chief of Sinners: In a Faithful Account of the Life and Death of John Bunyan,John Bunyan,9.78198E+12,CreateSpace Publishing,,84,6.00(w) x 1.25(h) x 9.00(d)
Exploring the Limits of the Human through Science Fiction,Gerald Alva Miller Jr.,9.78114E+12,Palgrave Macmillan US,2012,238,8.50(w) x 5.70(h) x 0.80(d)
The Winter Long (October Daye Series #8),Seanan McGuire,9.78076E+12,DAW,,368,4.10(w) x 6.50(h) x 1.10(d)
I Want to Hold Your Hand (Green Mountain Series #2),Marie Force,9.78043E+12,Penguin Publishing Group,,352,4.10(w) x 6.60(h) x 1.10(d)
#Bae,Cambria Hebert,9.78194E+12,Cambria Hebert,,416,5.00(w) x 7.90(h) x 1.10(d)
My Little Monster 9,Robico,9.78161E+12,Kodansha International,,192,12.60(w) x 18.80(h) x 1.60(d)
Cripple Wolf,Jeff Burk,9.78194E+12,Eraserhead Press,,152,5.50(w) x 8.50(h) x 0.33(d)
Dark in Death (In Death Series #46),J. D. Robb,9.78125E+12,St. Martin's Press,,384,6.40(w) x 8.90(h) x 1.30(d)
Gold: The Final Science Fiction Collection,Isaac Asimov,9.78006E+12,HarperCollins Publishers,1st EOS Paperback Edition,416,5.31(w) x 8.00(h) x 0.93(d)
The Highlander's Prize (Sutherlands Series #1),Mary Wine,9.7814E+12,Sourcebooks,Original,352,4.20(w) x 6.80(h) x 1.10(d)
Ensayos (Essays),George Orwell,9.78607E+12,PRH Grupo Editorial,Spanish-language Edition,475,4.90(w) x 7.50(h) x 1.80(d)
Dance of the Reptiles: Rampaging Tourists Marauding Pythons Larcenous Legislators Crazed Celebrities and Tar-Balled Beaches: Selected Columns,Carl Hiaasen,9.78035E+12,Knopf Doubleday Publishing Group,,416,5.20(w) x 8.00(h) x 0.90(d)
2 B R 0 2 B,Kurt Vonnegut,9.78197E+12,CreateSpace Publishing,,42,6.00(w) x 1.25(h) x 9.00(d)
Court of the Air,Stephen Hunt,9.78077E+12,St. Martins Press-3PL,,608,5.00(w) x 7.99(h) x 1.35(d)
Java Programming for Spatial Sciences,Jo Wood,9.78042E+12,Taylor & Francis,New Edition,336,6.00(w) x 8.90(h) x 0.80(d)
Forever Black: A Romantic Thriller,Elise Noble,9.78191E+12,Undercover Publishing Limited,,340,5.00(w) x 8.00(h) x 0.70(d)
Sevanport: An Away Science Fiction Book,Norman Oro,9.78154E+12,CreateSpace Publishing,,164,6.00(w) x 9.00(h) x 0.38(d)
Classic Ghost Stories (Barnes & Noble Collectible Editions),Various,9.78144E+12,Barnes & Noble,New edition Bonded Leather,816,6.50(w) x 9.40(h) x 2.00(d)
Killer Insight (Psychic Eye Series #4),Victoria Laurie,9.78045E+12,Penguin Publishing Group,,304,4.17(w) x 6.67(h) x 0.80(d)
Shaun and the Magic Chair,Robert Collins,9.7815E+12,AuthorHouse,,96,5.00(w) x 8.00(h) x 0.23(d)
Collected Essays Volume 1: Amateur Journalism,H. P. Lovecraft,9.78097E+12,Hippocampus Press,,444,6.00(w) x 9.00(h) x 0.99(d)
Hunting Fear (Bishop Special Crimes Unit Series #7),Kay Hooper,9.78055E+12,Random House Publishing Group,Reprint,384,4.15(w) x 6.90(h) x 1.00(d)
Heven & Hell Anthology,Cambria Hebert,9.78194E+12,Cambria Hebert,,216,6.00(w) x 9.00(h) x 0.49(d)
Maximum Ride Manga Volume 6,James Patterson,9.78076E+12,Yen Press,Manga,208,5.75(w) x 8.50(h) x 0.75(d)
Sleight of Hand,Peter S. Beagle,9.78162E+12,Tachyon Publications,,288,5.59(w) x 8.51(h) x 0.78(d)
Enchanted,Kay Hooper,9.78052E+12,Penguin Publishing Group,Reprint,416,4.13(w) x 6.75(h) x 1.00(d)
Grooming Mr. Right,Tonya Kappes,9.78149E+12,CreateSpace Publishing,,290,5.25(w) x 8.00(h) x 0.65(d)
Age of Swords (Legends of the First Empire Series #2),Michael J. Sullivan,9.7811E+12,Random House Publishing Group,,528,4.20(w) x 7.40(h) x 1.30(d)
Midnight Blue-Light Special (InCryptid Series #2),Seanan McGuire,9.78076E+12,DAW,,368,4.10(w) x 6.70(h) x 1.20(d)
El Refugio,Jude Deveraux,9.78849E+12,Ediciones B,Spanish-language Edition,344,4.90(w) x 7.40(h) x 0.90(d)
Traveling Mercies: Some Thoughts on Faith,Anne Lamott,9.78039E+12,Knopf Doubleday Publishing Group,First Anchor Books Edition,288,5.18(w) x 7.99(h) x 0.60(d)
Discount Armageddon (InCryptid Series #1),Seanan McGuire,9.78076E+12,DAW,Original,368,4.10(w) x 6.60(h) x 1.20(d)
Neil Gaiman's Troll Bridge,Neil Gaiman;  Colleen Doran,9.78151E+12,Dark Horse Comics,,64,6.70(w) x 10.20(h) x 0.50(d)
Black Magic,Marjorie Bowen,9.78153E+12,CreateSpace Publishing,,468,6.00(w) x 9.00(h) x 0.94(d)
The Handy Chemistry Answer Book,Justin P. Lomont;  Ian C. Stewart,9.78158E+12,Visible Ink Press,,400,7.00(w) x 9.20(h) x 1.10(d)
Happy Birthday Pictoral Book to Valentina Monee Knight: Happyeveryday Forever to my Valentini Monini Love You,Papa Dan Edward Knight Sr.,9.7815E+12,CreateSpace Publishing,,28,6.00(w) x 9.00(h) x 0.06(d)
The Iron Tactician,Alastair Reynolds,9.78191E+12,NewCon Press,,98,5.83(w) x 8.27(h) x 0.23(d)
Handy Ocean Answer Book,Thomas E Svarney;  Patricia Barnes-Svarney,9.78158E+12,Visible Ink Press,,616,9.00(w) x 7.36(h) x 1.21(d)
And Then You Die,John R. Jorissen,9.7806E+12,iUniverse Incorporated,,202,5.90(w) x 8.90(h) x 0.60(d)
Vocabulary Activities with CD-ROM,Penny Ur,9.78052E+12,Cambridge University Press,New Edition,272,5.98(w) x 8.98(h) x 0.67(d)
Why People Fail P (Airport Custom),Alastair Reynolds,9.78112E+12,Wiley,,258,6.00(w) x 9.00(h) x 0.54(d)
Kidnapped: Sam Silver: Undercover Pirate 3,Jan Burchett;  Sara Vogler,9.78144E+12,Orion Children's Books,,128,5.00(w) x 7.70(h) x 0.50(d)
Handbook of Magnetic Materials,Elsevier Science,9.78044E+12,Elsevier Science,,460,6.10(w) x 9.10(h) x 1.40(d)
Man Overboard (Ali Reynolds Series #12),J. A. Jance,9.7815E+12,Pocket Books,Reprint,416,4.10(w) x 7.40(h) x 1.00(d)
